captured_at_utc,label,status_code,x_ratelimit_limit,x_ratelimit_remaining,x_ratelimit_reset,retry_after
2026-05-13T02:29:19.362472+00:00,events_bookmaker_filtered_1,200,100,94,2026-05-13T03:28:43Z,
2026-05-13T02:29:20.710086+00:00,events_search_1,200,100,93,2026-05-13T03:28:43Z,
2026-05-13T02:29:20.860774+00:00,events_search_2,200,100,92,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.009553+00:00,events_search_3,200,100,91,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.187296+00:00,events_search_4,200,100,90,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.355244+00:00,events_search_5,200,100,89,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.533463+00:00,events_search_6,200,100,88,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.780790+00:00,events_search_7,200,100,87,2026-05-13T03:28:43Z,
2026-05-13T02:29:21.931277+00:00,events_search_8,200,100,86,2026-05-13T03:28:43Z,
2026-05-13T02:29:22.081149+00:00,events_search_9,200,100,85,2026-05-13T03:28:43Z,
2026-05-13T02:29:22.234025+00:00,events_search_10,200,100,84,2026-05-13T03:28:43Z,
2026-05-13T02:29:22.385331+00:00,events_search_11,200,100,83,2026-05-13T03:28:43Z,
2026-05-13T02:29:22.561309+00:00,events_search_12,200,100,82,2026-05-13T03:28:43Z,
2026-05-13T02:29:22.705870+00:00,odds_multi,200,100,81,2026-05-13T03:28:43Z,
