fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc
odds_api_io_66053732,czechia-msfl,czechia-msfl,upcoming,2026-05-24,08:15,1. FC Slovacko B,SK Polanka Nad Odrou,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68310920,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-24,14:00,AFC Eskilstuna,Vasalunds IF,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71604164,romania-superliga,romania-superliga,upcoming,2026-05-24,14:30,AFC Hermannstadt,SC FC Voluntari,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69255038,brazil-brasileiro-serie-c,brazil-brasileiro-serie-c,upcoming,2026-05-24,19:30,AA Internacional Limeira SP,AO Itabaiana SE,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68311624,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-24,14:00,Aatvidabergs FF,Laholms FK,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_70321606,brazil-brasileiro-serie-d,brazil-brasileiro-serie-d,upcoming,2026-05-24,19:00,ABC FC RN,America FC RN,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68822916,brazil-brasileiro-serie-b,brazil-brasileiro-serie-b,upcoming,2026-05-24,19:00,AC Goianiense GO,Sao Bernardo FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_61061695,italy-serie-a,italy-serie-a,upcoming,2026-05-24,18:45,AC Milan,Cagliari Calcio,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68971774,brazil-brasileiro-serie-a2-women,brazil-brasileiro-serie-a2-women,upcoming,2026-05-24,19:00,Acao Futebol MT,Itabirito FC MG,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67122974,argentina-primera-c,argentina-primera-c,upcoming,2026-05-24,18:30,AD Berazategui,Argentino de Rosario,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69255044,brazil-brasileiro-serie-c,brazil-brasileiro-serie-c,upcoming,2026-05-24,21:00,AD Confianca SE,Figueirense FC SC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71479358,costa-rica-liga-de-ascenso-clausura,costa-rica-liga-de-ascenso-clausura,upcoming,2026-05-24,17:00,Adr Jicaral,Inter San Carlos,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68902048,brazil-u20-mineiro-1-divisao,brazil-u20-mineiro-1-divisao,upcoming,2026-05-24,12:00,AE Uberabinha MG,Inter de Minas MG,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71424676,albania-kategoria-superiore,albania-kategoria-superiore,upcoming,2026-05-24,17:00,Af Elbasani,FC Dinamo City,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71680532,mali-ligue-1,mali-ligue-1,upcoming,2026-05-24,16:30,Afrique Football Elite,Binga FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71609782,spain-segunda-federacion,spain-segunda-federacion,upcoming,2026-05-24,10:00,Aguilas FC,UD Poblense,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71649630,netherlands-eredivisie,netherlands-eredivisie,upcoming,2026-05-24,10:15,Ajax Amsterdam,FC Utrecht,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71530434,kuwait-premier-league,kuwait-premier-league,upcoming,2026-05-24,17:25,Al-Nasr SC,Kuwait SC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
fd_SP2_2026-05-24_Albacete_Sociedad_B,SP2,SP2,upcoming,2026-05-24,15:15,Albacete,Sociedad B,football_data_fixtures_proxy,2026-05-24T02:33:29.045569+00:00
odds_api_io_61623914,spain-laliga-2,spain-laliga-2,upcoming,2026-05-24,14:15,Albacete Balompie,Real Sociedad San Sebastian B,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71562550,spain-segunda-feb,spain-segunda-feb,upcoming,2026-05-24,10:30,Albacete Basket,AB Castello,odds_api_io_events_search,2026-05-24T02:33:30.071980+00:00
odds_api_io_71372592,peru-liga-1,peru-liga-1,upcoming,2026-05-24,20:30,Alianza Atletico,FC Cajamarca,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69255056,brazil-brasileiro-serie-c,brazil-brasileiro-serie-c,upcoming,2026-05-24,19:30,Amazonas FC AM,Ferroviaria Araraquara SP,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68902044,brazil-u20-mineiro-1-divisao,brazil-u20-mineiro-1-divisao,upcoming,2026-05-24,13:00,America FC MG,Itabirito FC MG,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68822910,brazil-brasileiro-serie-b,brazil-brasileiro-serie-b,upcoming,2026-05-24,21:30,America FC MG,Vila Nova FC GO,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_61623922,spain-laliga-2,spain-laliga-2,upcoming,2026-05-24,14:15,FC Andorra,AD Ceuta,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
fd_SP2_2026-05-24_Andorra_Ceuta,SP2,SP2,upcoming,2026-05-24,15:15,Andorra,Ceuta,football_data_fixtures_proxy,2026-05-24T02:33:29.045569+00:00
odds_api_io_68320804,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-24,11:00,Angby IF,Bollstanas SK,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_70318500,brazil-brasileiro-serie-d,brazil-brasileiro-serie-d,upcoming,2026-05-24,19:00,Araguaina TO,Porto Velho EC/RO,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71069100,international-clubs-caf-champions-league,international-clubs-caf-champions-league,upcoming,2026-05-24,19:00,AS Far Rabat,Mamelodi Sundowns,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71636094,italy-serie-c-promotion-playoffs,italy-serie-c-promotion-playoffs,upcoming,2026-05-24,18:00,Ascoli Calcio 1898,Calcio Catania,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71573132,colombia-liga-femenina,colombia-liga-femenina,upcoming,2026-05-24,20:30,Asociacion Deportivo Pasto,Atletico Nacional SA,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68377700,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-24,11:00,Astorps FF,Vastra Frolunda IF,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68215864,brazil-campeonato-brasileiro-women,brazil-campeonato-brasileiro-women,upcoming,2026-05-24,21:00,Atletico Mineiro MG,Ferroviaria SP,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68685992,canada-canadian-premier-league,canada-canadian-premier-league,upcoming,2026-05-24,18:00,Atletico Ottawa,Forge FC Hamilton,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71482472,spain-amateur-tercera-federacion-group-6,spain-amateur-tercera-federacion-group-6,upcoming,2026-05-24,16:00,Atletico Saguntino,CF La Nucia,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68822918,brazil-brasileiro-serie-b,brazil-brasileiro-serie-b,upcoming,2026-05-24,22:00,Avai FC SC,Goias EC GO,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_70323318,brazil-brasileiro-serie-d,brazil-brasileiro-serie-d,upcoming,2026-05-24,18:30,Azuriz FC PR,Blumenau EC SC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_62181594,hungary-nb-iii,hungary-nb-iii,upcoming,2026-05-24,15:00,BFC Siofok,Pte Peac,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71482456,spain-amateur-tercera-federacion-group-5,spain-amateur-tercera-federacion-group-5,upcoming,2026-05-24,16:00,CF Badalona,CE L'Hospitalet,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_62181590,hungary-nb-iii,hungary-nb-iii,upcoming,2026-05-24,15:00,Balatonlelle,Ivancsa KSE,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69767372,australia-npl-western-australia-women,australia-npl-western-australia-women,upcoming,2026-05-24,07:00,Balcatta FC,Perth Redstar FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71564206,kosovo-superliga,kosovo-superliga,upcoming,2026-05-24,14:00,FC Ballkani,FC Prishtina,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71620930,italy-serie-d-poule-scudetto,italy-serie-d-poule-scudetto,upcoming,2026-05-24,14:00,Barletta Calcio,Vado FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67912090,usa-national-womens-soccer-league,usa-national-womens-soccer-league,upcoming,2026-05-24,21:00,Bay FC,Chicago Stars FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68663494,vietnam-v-league-1,vietnam-v-league-1,upcoming,2026-05-24,11:00,Becamex Ho Chi Minh City,Song Lam Nghe An,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69195334,australia-capital-npl-women,australia-capital-npl-women,upcoming,2026-05-24,05:00,Belconnen United,Canberra Olympic,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69091090,usa-usl-league-two,usa-usl-league-two,upcoming,2026-05-24,02:50,Bigfoot FC,West Seattle Junction FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68377696,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-24,11:00,BK Astrio,Landvetter IS,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_62180532,hungary-nb-iii,hungary-nb-iii,upcoming,2026-05-24,15:00,BKV Elore,Monori SE,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67693074,australia-u20-nsw-npl,australia-u20-nsw-npl,upcoming,2026-05-24,03:00,Blacktown City FC,Sydney Olympic FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67647996,japan-jleague-2,japan-jleague-2,upcoming,2026-05-24,05:00,Blaublitz Akita,Tochigi City FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67015194,norway-eliteserien,norway-eliteserien,upcoming,2026-05-24,14:00,Bodoe/Glimt,SK Brann,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71573910,england-league-one,england-league-one,upcoming,2026-05-24,12:00,Bolton Wanderers,Stockport County FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68162398,australia-victoria-npl-women,australia-victoria-npl-women,upcoming,2026-05-24,05:00,Boroondara Eagles,Melbourne City Youth,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68215866,brazil-campeonato-brasileiro-women,brazil-campeonato-brasileiro-women,upcoming,2026-05-24,19:00,Botafogo Fr RJ,America FC MG,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_70319978,brazil-brasileiro-serie-d,brazil-brasileiro-serie-d,upcoming,2026-05-24,19:00,Brasiliense FC DF,Inhumas EC GO,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
fd_E0_2026-05-24_Brighton_Man_United,premier_league,E0,upcoming,2026-05-24,16:00,Brighton,Man United,football_data_fixtures_proxy,2026-05-24T02:33:29.045569+00:00
2267443,premier_league,4328,2025-2026,2026-05-24,15:00:00,Brighton and Hove Albion,Manchester United,thesportsdb_eventsnextleague,2026-05-24T02:33:28.775914+00:00
odds_api_io_67878250,australia-queensland-npl,australia-queensland-npl,upcoming,2026-05-24,04:00,Brisbane Roar FC,Eastern Suburbs FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69255042,brazil-brasileiro-serie-c,brazil-brasileiro-serie-c,upcoming,2026-05-24,19:30,Brusque FC SC,Anapolis FC GO,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_61301269,england-premier-league,england-premier-league,upcoming,2026-05-24,15:00,Burnley FC,Wolverhampton Wanderers,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
fd_E0_2026-05-24_Burnley_Wolves,premier_league,E0,upcoming,2026-05-24,16:00,Burnley,Wolves,football_data_fixtures_proxy,2026-05-24T02:33:29.045569+00:00
odds_api_io_67125788,argentina-primera-c,argentina-primera-c,upcoming,2026-05-24,18:30,CA Atlas,Club Lujan,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71477180,uruguay-primera-division,uruguay-primera-division,upcoming,2026-05-24,13:00,CA Cerro,Central Espanol FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71563696,argentina-liga-profesional,argentina-liga-profesional,upcoming,2026-05-24,18:30,CA River Plate (ARG),CA Belgrano de Cordoba,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_61623916,spain-laliga-2,spain-laliga-2,upcoming,2026-05-24,16:30,Cadiz CF,CD Leganes,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
fd_SP2_2026-05-24_Cadiz_Leganes,SP2,SP2,upcoming,2026-05-24,17:30,Cadiz,Leganes,football_data_fixtures_proxy,2026-05-24T02:33:29.045569+00:00
odds_api_io_71620928,italy-serie-d-poule-scudetto,italy-serie-d-poule-scudetto,upcoming,2026-05-24,14:00,Calcio Desenzano,Scafatese Calcio 1922,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69194938,australia-capital-npl-1,australia-capital-npl-1,upcoming,2026-05-24,05:00,Canberra Croatia FC,Monaro Panthers FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71172394,venezuela-primera-division,venezuela-primera-division,upcoming,2026-05-24,21:00,Carabobo FC,Deportivo Tachira,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71372682,peru-liga-2,peru-liga-2,upcoming,2026-05-24,20:30,Carlos Mannucci,Pirata FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68685994,canada-canadian-premier-league,canada-canadian-premier-league,upcoming,2026-05-24,21:00,Cavalry FC,Pacific FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68097912,chile-primera-b,chile-primera-b,upcoming,2026-05-24,16:30,CD Antofagasta,CD Santa Cruz,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483814,spain-amateur-tercera-federacion-group-16,spain-amateur-tercera-federacion-group-16,upcoming,2026-05-24,15:00,CD Arnedo,CD Calahorra,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483696,spain-amateur-tercera-federacion-group-14,spain-amateur-tercera-federacion-group-14,upcoming,2026-05-24,16:30,CD Badajoz,CF Jaraiz,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71609776,spain-segunda-federacion,spain-segunda-federacion,upcoming,2026-05-24,17:00,CD Coria,Real Oviedo Vetusta,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71454146,spain-amateur-tercera-federacion-group-2,spain-amateur-tercera-federacion-group-2,upcoming,2026-05-24,10:00,CD Covadonga,CD Mosconia,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483868,spain-amateur-tercera-federacion-group-17,spain-amateur-tercera-federacion-group-17,upcoming,2026-05-24,10:00,CD Cuarte,CD Caspe,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71482448,spain-amateur-tercera-federacion-group-4,spain-amateur-tercera-federacion-group-4,upcoming,2026-05-24,16:00,CD Derio,CD Lagun Onak,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71482906,spain-amateur-tercera-federacion-group-8,spain-amateur-tercera-federacion-group-8,upcoming,2026-05-24,16:00,CD Guijuelo,UD Santa Marta,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71612812,el-salvador-segunda-division,el-salvador-segunda-division,upcoming,2026-05-24,23:00,CD Inca,Sensunte Cabanas FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483758,spain-amateur-tercera-federacion-group-15,spain-amateur-tercera-federacion-group-15,upcoming,2026-05-24,16:00,CD Izarra,CD Subiza,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_61623932,spain-laliga-2,spain-laliga-2,upcoming,2026-05-24,16:30,CD Mirandes,Granada CF,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71335382,colombia-copa-colombia,colombia-copa-colombia,upcoming,2026-05-24,20:30,CD Real Santander,Deportivo Cali,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_68687672,ecuador-ligapro-primera-a,ecuador-ligapro-primera-a,upcoming,2026-05-24,18:00,CD Tecnico Universitario,Leones Futbol Club,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483882,spain-amateur-tercera-federacion-group-18,spain-amateur-tercera-federacion-group-18,upcoming,2026-05-24,16:00,CD Toledo Sad,Atletico Albacete,odds_api_io_events_search,2026-05-24T02:33:30.071980+00:00
odds_api_io_71482436,spain-amateur-tercera-federacion-group-3,spain-amateur-tercera-federacion-group-3,upcoming,2026-05-24,16:00,CD Tropezon,CD Guarnizo,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_67681866,chile-primera-division,chile-primera-division,upcoming,2026-05-24,22:00,CD Universidad Catolica,Colo-Colo,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71483812,spain-amateur-tercera-federacion-group-16,spain-amateur-tercera-federacion-group-16,upcoming,2026-05-24,10:00,CD Varea,SD Oyonesa,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_71573122,colombia-liga-femenina,colombia-liga-femenina,upcoming,2026-05-24,21:30,CDP Junior FC,Fortaleza FC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_63666487,turkiye-super-lig-women,turkiye-super-lig-women,upcoming,2026-05-24,11:00,Cekmekoy Bilgidoga Sportif,Trabzonspor AS,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
odds_api_io_69279564,scotland-premier-league-women,scotland-premier-league-women,upcoming,2026-05-24,12:10,Celtic LFC,Partick Thistle LFC,odds_api_io_events_bookmaker_filtered,2026-05-24T02:33:30.071980+00:00
