event_id,sport,league,date_utc,date_denmark,home,away,status
71286208,Basketball,Italy - Serie B,2026-05-13T18:30:00Z,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,pending
71286216,Basketball,Italy - Serie B,2026-05-13T18:30:00Z,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,pending
71286212,Basketball,Italy - Serie B,2026-05-13T18:45:00Z,2026-05-13 20:45,Treviglio Brianza Basket,ASD Latina Basket,pending
70449624,Basketball,International - Euroleague,2026-05-13T19:00:00Z,2026-05-13 21:00,Valencia Basket,Panathinaikos BC,pending
71168694,Basketball,Italy - Serie B,2026-05-13T19:00:00Z,2026-05-13 21:00,Dany Basket Quarrata,Siaz Basket,pending
71168784,Basketball,Italy - Serie B,2026-05-13T18:30:00Z,2026-05-13 20:30,Ravenna Piero Manetti,Pallacanestro Fiorenzuola,pending
71425816,Basketball,Italy - Serie A2,2026-05-13T19:00:00Z,2026-05-13 21:00,Pallacanestro Ruvo di Puglia,AS Pistoia Basket 2000,pending
71286296,Basketball,Italy - Serie A2,2026-05-13T19:00:00Z,2026-05-13 21:00,Real Sebastiani Rieti,Ueb Cividale,pending
71286210,Basketball,Italy - Serie B,2026-05-13T19:00:00Z,2026-05-13 21:00,Cestistica Citta Di San Severo,Rucker San Vendemiano,pending
71168788,Basketball,Italy - Serie B,2026-05-13T19:00:00Z,2026-05-13 21:00,Fulgor Fidenza,Ferrara Basket 2018,pending
71463044,Football,Mali - Ligue 1,2026-05-13T18:30:00Z,2026-05-13 20:30,AS Bakaridjan,AS Korofina,pending
70315360,Football,France - Ligue 1,2026-05-13T19:00:00Z,2026-05-13 21:00,Racing Club De Lens,Paris Saint-Germain,pending
71019438,Football,Italy - Coppa Italia,2026-05-13T19:00:00Z,2026-05-13 21:00,Lazio Rome,Inter Milano,pending
70350998,Football,Ecuador - Serie B,2026-05-13T20:30:00Z,2026-05-13 22:30,Cumbaya FC,LDU Portoviejo,pending
70764748,Football,"Brazil - Carioca, Serie A2",2026-05-13T20:00:00Z,2026-05-13 22:00,Marica FC RJ,Sao Goncalo EC RJ,pending
71444084,Handball,"Denmark - Kvindeligaen, Women",2026-05-13T18:30:00Z,2026-05-13 20:30,Team Esbjerg,Herning-Ikast Haandbold,pending
69107386,Handball,Poland - Superliga Women,2026-05-13T18:30:00Z,2026-05-13 20:30,MKS Piotrcovia,MKS Zaglebie Lubin,pending
71201162,Tennis,"ATP - ATP Rome, Italy Men Singles",2026-05-13T18:55:00Z,2026-05-13 20:55,"Jodar, Rafael","Darderi, Luciano",pending
71351832,Tennis,"Challenger - ATP Challenger Cordoba, Argentina Men Singles",2026-05-13T21:00:00Z,2026-05-13 23:00,"Dickerson, Ryan","Kicker, Nicolas",pending
71464608,Esports,League of Legends - LFL,2026-05-13T19:00:00Z,2026-05-13 21:00,Zyb,Vitality Bee,pending
71477032,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T20:30:00Z,2026-05-13 22:30,Betboom Team,Pain Gaming,pending
71475706,Esports,Rainbow Six - BLAST R6 Major,2026-05-13T20:45:00Z,2026-05-13 22:45,Enterprise eSports,Weibo Gaming,pending
