event_id,sport,date_denmark,home,away,league,bookmaker,market,label,home_odds,draw_odds,away_odds,over,under,yes,no,hdp,raw_odds,updated_at
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,ML,,N/A,,N/A,,,,,,"{""home"": ""N/A"", ""away"": ""N/A""}",2026-05-13T12:46:00.483Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Totals,,,,,N/A,N/A,,,167.5,"{""hdp"": 167.5, ""over"": ""N/A"", ""under"": ""N/A""}",2026-05-13T12:46:00.483Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,ML HT,,1.58,,2.22,,,,,,"{""home"": ""1.58"", ""away"": ""2.22""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Spread HT,,1.83,,1.83,,,,,-2.5,"{""hdp"": -2.5, ""home"": ""1.83"", ""away"": ""1.83""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Totals HT,,,,,1.80,1.86,,,83.5,"{""hdp"": 83.5, ""over"": ""1.80"", ""under"": ""1.86""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Totals 1Q,,,,,1.74,1.95,,,41.5,"{""hdp"": 41.5, ""over"": ""1.74"", ""under"": ""1.95""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Team Total Home,,,,,1.86,1.80,,,86.5,"{""hdp"": 86.5, ""over"": ""1.86"", ""under"": ""1.80""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Team Total Away,,,,,1.83,1.83,,,81.5,"{""hdp"": 81.5, ""over"": ""1.83"", ""under"": ""1.83""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,ML Q1,,1.64,,2.12,,,,,,"{""home"": ""1.64"", ""away"": ""2.12""}",2026-05-12T13:53:24.914Z
71286208,Basketball,2026-05-13 20:30,Herons Basket Montecatini,Juvecaserta 2021,Italy - Serie B,Bet365,Spread Q1,,1.83,,1.83,,,,,-1.5,"{""hdp"": -1.5, ""home"": ""1.83"", ""away"": ""1.83""}",2026-05-12T13:53:24.914Z
71286216,Basketball,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,Italy - Serie B,Bet365,ML,,N/A,,N/A,,,,,,"{""home"": ""N/A"", ""away"": ""N/A""}",2026-05-13T12:50:56.479Z
71286216,Basketball,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,Italy - Serie B,Bet365,Totals,,,,,N/A,N/A,,,161.5,"{""hdp"": 161.5, ""over"": ""N/A"", ""under"": ""N/A""}",2026-05-13T13:21:00.76Z
71286216,Basketball,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,Italy - Serie B,Bet365,ML HT,,2.62,,1.44,,,,,,"{""home"": ""2.62"", ""away"": ""1.44""}",2026-05-12T17:01:53.875Z
71286216,Basketball,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,Italy - Serie B,Bet365,Spread HT,,1.86,,1.80,,,,,3.5,"{""hdp"": 3.5, ""home"": ""1.86"", ""away"": ""1.80""}",2026-05-12T11:44:47.208Z
71286216,Basketball,2026-05-13 20:30,Fulgor Omegna Basket,Virtus Gvm Roma 1960,Italy - Serie B,Bet365,Totals HT,,,,,1.86,1.80,,,81.5,"{""hdp"": 81.5, ""over"": ""1.86"", ""under"": ""1.80""}",2026-05-13T14:05:08.107Z
