event_id,date_denmark,home,away,league,sport
71378880,2026-05-12 15:00,Deportivo Maldonado Reserve,Racing Club Montevideo,"Uruguay - Tercera Division, Reserves",Football
71338854,2026-05-12 16:10,AL Ittihad Kalba,AL Nasr,United Arab Emirates - U23 Pro League,Football
71338856,2026-05-12 16:10,AL Wasl,AL Jazira,United Arab Emirates - U23 Pro League,Football
62036882,2026-05-12 17:00,Zaglebie Lubin II,Mkp Carina Gubin,"Poland - III Liga, Group 3",Football
71338858,2026-05-12 17:30,AL Wahda FC,Khorfakkan,United Arab Emirates - U23 Pro League,Football
71338618,2026-05-12 19:00,Real Madrid,Borussia Dortmund,International Youth - U21 Premier League International Cup,Football
71378882,2026-05-12 19:00,Central Espanol Reserve,Defensor Sporting,"Uruguay - Tercera Division, Reserves",Football
68158760,2026-05-12 20:00,Racing Club Avellaneda,Velez Sarsfield Reserve,"Argentina - Copa Proyeccion Final, Reserves",Football
68158768,2026-05-12 20:00,Gimnasia de la Plata Reserve,CA Banfield,"Argentina - Copa Proyeccion Final, Reserves",Football
68158784,2026-05-12 20:00,Newells Old Boys,CA Quilmes Reserve,"Argentina - Copa Proyeccion Final, Reserves",Football
68158786,2026-05-12 20:00,Defensa Y Justicia Reserve,CA Platense,"Argentina - Copa Proyeccion Final, Reserves",Football
71378884,2026-05-12 20:00,Colon FC Reserve,Liverpool Montevideo,"Uruguay - Tercera Division, Reserves",Football
71378874,2026-05-12 20:30,Cerro Largo FC,Boston River,"Uruguay - Tercera Division, Reserves",Football
71378878,2026-05-12 20:30,Penarol Montevideo,Nacional de Montevideo,"Uruguay - Tercera Division, Reserves",Football
