event_id,date_denmark,home,away,league,sport,bookmaker_count,is_major_league,reason
69880310,2026-05-12 19:00,Wadi Degla SC,Ismaily SC,Egypt - Premier League,Football,0,False,not_major_league_or_low_coverage
70812400,2026-05-12 19:00,Hapoel Tel Aviv FC,Hapoel Petah Tikva FC,Israel - Premier League,Football,0,False,not_major_league_or_low_coverage
71338618,2026-05-12 19:00,Real Madrid,Borussia Dortmund,International Youth - U21 Premier League International Cup,Football,0,False,youth_or_reserve
71378882,2026-05-12 19:00,Central Espanol Reserve,Defensor Sporting,"Uruguay - Tercera Division, Reserves",Football,0,False,youth_or_reserve
70906726,2026-05-12 19:15,Botev Plovdiv,FC Arda Kardzhali,Bulgaria - Parva Liga,Football,0,False,not_major_league_or_low_coverage
71364784,2026-05-12 19:30,Al Hussein Irbid,Al Wehdat,Jordan - Jordan Cup,Football,0,False,not_major_league_or_low_coverage
70812402,2026-05-12 19:30,Beitar Jerusalem FC,Hapoel Be`er Sheva FC,Israel - Premier League,Football,0,False,not_major_league_or_low_coverage
62670417,2026-05-12 19:30,TS Galaxy FC,Mamelodi Sundowns,South Africa - Premiership,Football,0,False,not_major_league_or_low_coverage
68158760,2026-05-12 20:00,Racing Club Avellaneda,Velez Sarsfield Reserve,"Argentina - Copa Proyeccion Final, Reserves",Football,0,False,youth_or_reserve
68158768,2026-05-12 20:00,Gimnasia de la Plata Reserve,CA Banfield,"Argentina - Copa Proyeccion Final, Reserves",Football,0,False,youth_or_reserve
68158784,2026-05-12 20:00,Newells Old Boys,CA Quilmes Reserve,"Argentina - Copa Proyeccion Final, Reserves",Football,0,False,youth_or_reserve
68158786,2026-05-12 20:00,Defensa Y Justicia Reserve,CA Platense,"Argentina - Copa Proyeccion Final, Reserves",Football,0,False,youth_or_reserve
71378884,2026-05-12 20:00,Colon FC Reserve,Liverpool Montevideo,"Uruguay - Tercera Division, Reserves",Football,0,False,youth_or_reserve
71378874,2026-05-12 20:30,Cerro Largo FC,Boston River,"Uruguay - Tercera Division, Reserves",Football,0,False,youth_or_reserve
71378878,2026-05-12 20:30,Penarol Montevideo,Nacional de Montevideo,"Uruguay - Tercera Division, Reserves",Football,0,False,youth_or_reserve
71406954,2026-05-12 20:45,Clyde FC,Hamilton Academical FC,Scotland - League 1,Football,0,False,not_major_league_or_low_coverage
71345226,2026-05-12 20:45,SP Tre Penne,SP La Fiorita,San Marino - Campionato Sammarinese,Football,0,False,not_major_league_or_low_coverage
71345228,2026-05-12 20:45,FC Domagnano,AC Virtus,San Marino - Campionato Sammarinese,Football,0,False,not_major_league_or_low_coverage
71091672,2026-05-12 21:00,JS Saoura,CR Belouizdad,Algeria - Ligue 1,Football,0,False,not_major_league_or_low_coverage
71335012,2026-05-12 21:00,Itagui Leones FC,Orsomarso SC,Colombia - Copa Colombia,Football,0,False,not_major_league_or_low_coverage
70379154,2026-05-12 21:00,San Antonio Bulo Bulo,FC Universitario de Vinto,Bolivia - Division Profesional,Football,0,False,not_major_league_or_low_coverage
71334994,2026-05-12 22:00,CD Real Santander,Boca Juniors de Cali,Colombia - Copa Colombia,Football,0,False,not_major_league_or_low_coverage
71325010,2026-05-12 23:00,Union Magdalena,Real Cartagena FC,Colombia - Primera B,Football,0,False,not_major_league_or_low_coverage
