event_id,date_denmark,home,away,league,bookmaker,market,label,home_odds,draw_odds,away_odds,over,under,yes,no,hdp,raw_odds,updated_at
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,ML,,1.615,4.200,5.000,,,,,,"{""home"": ""1.615"", ""draw"": ""4.200"", ""away"": ""5.000""}",2026-05-12T16:19:32.849Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Draw No Bet,,1.250,,3.750,,,,,,"{""home"": ""1.250"", ""away"": ""3.750""}",2026-05-12T15:31:51.806Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Double Chance,Real Betis or Elche,,,,,1.222,,,,"{""label"": ""Real Betis or Elche"", ""under"": ""1.222""}",2026-05-12T15:36:36.794Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Double Chance,Draw or Elche,,,,,2.300,,,,"{""label"": ""Draw or Elche"", ""under"": ""2.300""}",2026-05-12T15:36:36.794Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Double Chance,Real Betis or Draw,,,,,1.166,,,,"{""label"": ""Real Betis or Draw"", ""under"": ""1.166""}",2026-05-12T15:36:36.794Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Spread,,2.050,,1.800,,,,,-1,"{""hdp"": -1, ""home"": ""2.050"", ""away"": ""1.800""}",2026-05-12T16:17:48.916Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Totals,,,,,1.825,2.025,,,2.75,"{""hdp"": 2.75, ""over"": ""1.825"", ""under"": ""2.025""}",2026-05-12T16:23:26.747Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Goals Over/Under,,,,,1.666,2.200,,,2.5,"{""hdp"": 2.5, ""over"": ""1.666"", ""under"": ""2.200""}",2026-05-12T15:34:09.967Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Both Teams To Score,,,,,,,1.666,2.100,,"{""yes"": ""1.666"", ""no"": ""2.100""}",2026-05-12T11:14:22.656Z
61624640,2026-05-12 20:00,Real Betis Seville,Elche CF,Spain - LaLiga,Bet365,Spread HT,,2.075,,1.725,,,,,-0.5,"{""hdp"": -0.5, ""home"": ""2.075"", ""away"": ""1.725""}",2026-05-12T09:35:31.782Z
