event_id,date_denmark,home,away,league,bookmaker,market,label,home_odds,draw_odds,away_odds,over,under,yes,no,hdp,raw_odds,updated_at
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,ML,,2.625,3.200,2.400,,,,,,"{""home"": ""2.625"", ""draw"": ""3.200"", ""away"": ""2.400""}",2026-05-12T11:17:08.353Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Draw No Bet,,1.833,,1.833,,,,,,"{""home"": ""1.833"", ""away"": ""1.833""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Double Chance,Fardu Ferghana or Draw,,,,,1.444,,,,"{""label"": ""Fardu Ferghana or Draw"", ""under"": ""1.444""}",2026-05-11T15:57:55.032Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Double Chance,Draw or Xorazm FK Urganch,,,,,1.444,,,,"{""label"": ""Draw or Xorazm FK Urganch"", ""under"": ""1.444""}",2026-05-11T15:57:55.032Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Double Chance,Fardu Ferghana or Xorazm FK Urganch,,,,,1.285,,,,"{""label"": ""Fardu Ferghana or Xorazm FK Urganch"", ""under"": ""1.285""}",2026-05-11T15:57:55.032Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Spread,,2.000,,N/A,,,,,0,"{""hdp"": 0, ""home"": ""2.000"", ""away"": ""N/A""}",2026-05-12T11:12:58.618Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Totals,,,,,1.900,1.900,,,2.75,"{""hdp"": 2.75, ""over"": ""1.900"", ""under"": ""1.900""}",2026-05-12T11:19:36.73Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Goals Over/Under,,,,,1.650,2.200,,,2.5,"{""hdp"": 2.5, ""over"": ""1.650"", ""under"": ""2.200""}",2026-05-11T13:27:05.249Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Spread HT,,1.900,,1.900,,,,,0,"{""hdp"": 0, ""home"": ""1.900"", ""away"": ""1.900""}",2026-05-11T14:45:22.414Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Totals HT,,,,,2.025,1.775,,,1.25,"{""hdp"": 1.25, ""over"": ""2.025"", ""under"": ""1.775""}",2026-05-11T16:48:28.427Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Half Time Result,1,,,,,2.875,,,1,"{""label"": ""1"", ""hdp"": 1, ""under"": ""2.875""}",2026-05-11T13:34:19.121Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Half Time Result,Draw,,,,,2.375,,,,"{""label"": ""Draw"", ""under"": ""2.375""}",2026-05-11T13:34:19.121Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Half Time Result,2,,,,,2.875,,,2,"{""label"": ""2"", ""hdp"": 2, ""under"": ""2.875""}",2026-05-11T13:34:19.121Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,0-0,,,,,,,,,"{""label"": ""0-0"", ""odds"": ""12.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,1-0,,,,,,,,,"{""label"": ""1-0"", ""odds"": ""12.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,2-0,,,,,,,,,"{""label"": ""2-0"", ""odds"": ""15.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,2-1,,,,,,,,,"{""label"": ""2-1"", ""odds"": ""12.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,2-2,,,,,,,,,"{""label"": ""2-2"", ""odds"": ""12.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,3-1,,,,,,,,,"{""label"": ""3-1"", ""odds"": ""21.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,4-0,,,,,,,,,"{""label"": ""4-0"", ""odds"": ""41.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,4-1,,,,,,,,,"{""label"": ""4-1"", ""odds"": ""41.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,5-1,,,,,,,,,"{""label"": ""5-1"", ""odds"": ""67.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,5-2,,,,,,,,,"{""label"": ""5-2"", ""odds"": ""81.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,1-1,,,,,,,,,"{""label"": ""1-1"", ""odds"": ""7.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,3-0,,,,,,,,,"{""label"": ""3-0"", ""odds"": ""23.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,3-2,,,,,,,,,"{""label"": ""3-2"", ""odds"": ""26.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,3-3,,,,,,,,,"{""label"": ""3-3"", ""odds"": ""34.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,4-2,,,,,,,,,"{""label"": ""4-2"", ""odds"": ""41.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,4-3,,,,,,,,,"{""label"": ""4-3"", ""odds"": ""67.000""}",2026-05-12T11:21:58.982Z
71436762,2026-05-12 14:00,Fardu Ferghana,Xorazm Fk Urganch,Uzbekistan - Cup,Bet365,Correct Score,5-0,,,,,,,,,"{""label"": ""5-0"", ""odds"": ""67.000""}",2026-05-12T11:21:58.982Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,ML,,2.050,2.900,3.500,,,,,,"{""home"": ""2.050"", ""draw"": ""2.900"", ""away"": ""3.500""}",2026-05-12T03:56:07.941Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Draw No Bet,,1.500,,2.500,,,,,,"{""home"": ""1.500"", ""away"": ""2.500""}",2026-05-12T06:06:01.136Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Double Chance,TRA United or Draw,,,,,1.222,,,,"{""label"": ""TRA United or Draw"", ""under"": ""1.222""}",2026-05-12T06:43:38.95Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Double Chance,Draw or JKT Tanzania,,,,,1.615,,,,"{""label"": ""Draw or JKT Tanzania"", ""under"": ""1.615""}",2026-05-12T06:43:38.95Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Double Chance,TRA United or JKT Tanzania,,,,,1.300,,,,"{""label"": ""TRA United or JKT Tanzania"", ""under"": ""1.300""}",2026-05-12T06:43:38.95Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Spread,,1.825,,1.975,,,,,-0.25,"{""hdp"": -0.25, ""home"": ""1.825"", ""away"": ""1.975""}",2026-05-12T03:55:04.967Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Totals,,,,,1.800,2.000,,,2,"{""hdp"": 2, ""over"": ""1.800"", ""under"": ""2.000""}",2026-05-11T13:18:58.251Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Goals Over/Under,,,,,2.375,1.533,,,2.5,"{""hdp"": 2.5, ""over"": ""2.375"", ""under"": ""1.533""}",2026-05-11T13:09:32.501Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Spread HT,,2.250,,1.625,,,,,-0.25,"{""hdp"": -0.25, ""home"": ""2.250"", ""away"": ""1.625""}",2026-05-12T07:25:22.665Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Totals HT,,,,,1.750,2.050,,,0.75,"{""hdp"": 0.75, ""over"": ""1.750"", ""under"": ""2.050""}",2026-05-11T14:02:29.866Z
70478164,2026-05-12 15:15,TRA United,Jkt Tanzania,Tanzania - Premier League,Bet365,Alternative Goal Line,,,,,1.130,5.900,,,0.75,"{""hdp"": 0.75, ""over"": ""1.130"", ""under"": ""5.900""}",2026-05-12T11:03:59.715Z
