event_id,sport,league,date_utc,date_denmark,home,away,status
71631032,Baseball,"USA - NCAA, Regular Season",2026-05-21T18:00:00Z,2026-05-21 20:00,California Baptist Lancers,Utah Tech Trailblazers,pending
71549010,Baseball,"USA - NCAA, Regular Season",2026-05-21T20:00:00Z,2026-05-21 22:00,Fairleigh Dickinson Knights,Wagner Seahawks,pending
63300723,Baseball,USA - MLB,2026-05-21T20:05:00Z,2026-05-21 22:05,Washington Nationals,New York Mets,pending
71549020,Baseball,"USA - NCAA, Regular Season",2026-05-21T20:05:00Z,2026-05-21 22:05,Air Force Falcons,Unlv Rebels,pending
71632540,Baseball,"USA - NCAA, Regular Season",2026-05-21T19:00:00Z,2026-05-21 21:00,Purdue Boilermakers,Iowa Hawkeyes,pending
71642402,Baseball,"USA - NCAA, Regular Season",2026-05-21T19:30:00Z,2026-05-21 21:30,Kansas Jayhawks,Baylor Bears,pending
71629672,Baseball,"USA - NCAA, Regular Season",2026-05-21T20:00:00Z,2026-05-21 22:00,Georgia Bulldogs,Mississippi State Bulldogs,live
71632128,Baseball,"USA - NCAA, Regular Season",2026-05-21T21:00:00Z,2026-05-21 23:00,Uab Blazers,Memphis Tigers,pending
71562622,Baseball,"USA - NCAA, Regular Season",2026-05-21T21:30:00Z,2026-05-21 23:30,Missouri State Bears,Kennesaw State Owls,pending
69058026,Baseball,USA - Triple-A International League,2026-05-21T22:35:00Z,2026-05-22 00:35,Toledo Mud Hens,Indianapolis Indians,pending
63299913,Baseball,USA - MLB,2026-05-21T23:05:00Z,2026-05-22 01:05,New York Yankees,Toronto Blue Jays,pending
63299815,Baseball,USA - MLB,2026-05-22T01:38:00Z,2026-05-22 03:38,Los Angeles Angels,Athletics,pending
63300033,Baseball,USA - MLB,2026-05-22T01:40:00Z,2026-05-22 03:40,Arizona Diamondbacks,Colorado Rockies,pending
69063480,Baseball,USA - Triple-A Pacific Coast League,2026-05-22T02:05:00Z,2026-05-22 04:05,Las Vegas Aviators,Albuquerque Isotopes,pending
69063474,Baseball,USA - Triple-A Pacific Coast League,2026-05-22T00:35:00Z,2026-05-22 02:35,El Paso Chihuahuas,Round Rock Express,pending
63300551,Baseball,USA - MLB,2026-05-21T22:40:00Z,2026-05-22 00:40,Miami Marlins,Atlanta Braves,pending
71643108,Baseball,"USA - NCAA, Regular Season",2026-05-21T23:00:00Z,2026-05-22 01:00,Ohio State Buckeyes,Michigan Wolverines,pending
71643744,Baseball,"USA - NCAA, Regular Season",2026-05-21T23:30:00Z,2026-05-22 01:30,West Virginia Mountaineers,Kansas State Wildcats,pending
