sport_query,event_id,date_denmark,home,away,league,sport,bookmaker_count,status,reason
football,71854448,2026-06-16 01:00,Christos FC,Annapolis Blues FC,"USA - USL, League Two",Football,0,pending,not_good_competition_or_low_coverage
football,71880158,2026-06-16 11:15,Rochedale,Moreton City Excelsior FC,Australia - Queensland NPL,Football,0,pending,not_good_competition_or_low_coverage
football,72040954,2026-06-16 11:30,Wolves,Eastern Suburbs,Australia - Queensland NPL,Football,0,pending,not_good_competition_or_low_coverage
football,71880156,2026-06-16 11:30,Gold Coast Knights,Lions,Australia - Queensland NPL,Football,0,pending,not_good_competition_or_low_coverage
tennis,72058276,2026-06-16 01:30,"Stevens, Zane","Jankoski, Daniel","UTR Men - UTR PTT Sydney Men 01, Group A",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058194,2026-06-16 01:30,"Quigley, Olivia","Weir, Lexie","UTR Women - UTR PTT Sydney Women 01, Group D",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058224,2026-06-16 01:30,"Beale, Jeremy","Hahn, Jonas","UTR Men - UTR PTT Sydney Men 01, Group D",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058226,2026-06-16 01:30,"McLeod, Ashton","Connaughton, Luca","UTR Men - UTR PTT Sydney Men 01, Group D",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058244,2026-06-16 02:30,"Schoeman, Marcus","Dyer, Finley","UTR Men - UTR PTT Sydney Men 01, Group C",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058156,2026-06-16 02:30,"Slatina, Mia","Vanstone McGrath, Charlotte","UTR Women - UTR PTT Sydney Women 01, Group C",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058162,2026-06-16 02:30,"Freeman, Piper","Jovic, Teodora","UTR Women - UTR PTT Sydney Women 01, Group C",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72077470,2026-06-16 02:40,"Dodaj, Christina","Aiava, Destanee","UTR Women - UTR PTT Sydney Women 01, Group A",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,15813876367,2026-06-16 03:00,Naoki Nakagawa,Leo Vithoontien,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13621713901,2026-06-16 03:00,Tai Leonard Sach,Jesse Delaney,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058288,2026-06-16 04:00,"Despoja, Alexander","Staley, Jera","UTR Men - UTR PTT Sydney Men 01, Group A",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72058248,2026-06-16 04:00,"Pade, Charlie","Sardinha, Vitorio","UTR Men - UTR PTT Sydney Men 01, Group C",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,14549474670,2026-06-16 04:30,Yusuke Kusuhara,Shu Matsuoka,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13057054479,2026-06-16 04:30,Yuto Oki,Shinji Hazawa,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13099138887,2026-06-16 04:30,Renta Tokuda,Ryota Tanuma,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,15244143585,2026-06-16 06:00,Saki Tange,Colin Sinclair,Tennis - ITF Men Tokyo - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,15122396561,2026-06-16 07:00,Yecong Mo,Joshua Charlton,Tennis - ITF Men Maanshan - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13564692648,2026-06-16 08:15,Evan Zhu,Hoyoung Roh,Tennis - ITF Men Maanshan - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,12491590316,2026-06-16 08:15,Chase Ferguson,Taiyo Yamanaka,Tennis - ITF Men Maanshan - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,12759081643,2026-06-16 08:15,Tianhui Zhang,Shintaro Imai,Tennis - ITF Men Maanshan - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72085188,2026-06-16 10:00,"Galan, Daniel Elahi","Piros, Zsombor","Challenger - Parma, Italy",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13164454138,2026-06-16 10:00,Fausto Tabacco,Kirill Kivattsev,Tennis - ITF Men Milano - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13543614941,2026-06-16 10:00,Mikel Martinez,Ryan Nijboer,Tennis - ITF Men Mungia-Laukariz - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13630063227,2026-06-16 10:00,Giorgio Tabacco,Raffaele Ciurnelli,Tennis - ITF Men Milano - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,13651669669,2026-06-16 10:00,Joaquin Guilleme,Niccolo Ciavarella,Tennis - ITF Men Mungia-Laukariz - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,14963017881,2026-06-16 10:00,Pavlos Tsitsipas,Peru Bayo,Tennis - ITF Men Mungia-Laukariz - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,14996547868,2026-06-16 10:00,Manuel Mazza,Marcello Serafini,Tennis - ITF Men Milano - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,15218372677,2026-06-16 10:00,Bernardo Munk Mesa,Carles Cordoba,Tennis - ITF Men Mungia-Laukariz - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,15451521858,2026-06-16 10:00,Leonardo Borrelli,Gianmarco Ferrari,Tennis - ITF Men Milano - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,16003714661,2026-06-16 10:00,Enrique Carrascosa Diaz,Michiel De Krom,Tennis - ITF Men Mungia-Laukariz - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,16224501786,2026-06-16 10:00,Luca Potenza,Giovanni Oradini,Tennis - ITF Men Milano - R1,Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72084784,2026-06-16 10:00,"Boscardin Dias, Pedro","Choinski, Jan","Challenger - Poznan, Poland",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72084788,2026-06-16 10:00,"Heide, Gustavo","Michalski, Daniel","Challenger - Poznan, Poland",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72084796,2026-06-16 10:00,"Barton, Hynek","Coppejans, Kimmer","Challenger - Poznan, Poland",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72084800,2026-06-16 10:00,"Ribecai, Michele","Squire, Henri","Challenger - Poznan, Poland",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72085190,2026-06-16 10:00,"Guillen Meza, Alvaro","Bondioli, Federico","Challenger - Parma, Italy",Tennis,0,pending,not_good_competition_or_low_coverage
tennis,72128956,2026-06-16 10:00,"Roca Batalla, Oriol","Passaro, Francesco","Challenger - Parma, Italy",Tennis,0,pending,not_good_competition_or_low_coverage
