label,sport,status_code,x_ratelimit_limit,x_ratelimit_remaining,x_ratelimit_reset,url
football_all_day_events_page_1,football,200,,,,https://api.odds-api.io/v3/events?apiKey=***&sport=football&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A21Z&to=2026-06-05T06%3A08%3A21Z&limit=100&skip=0
tennis_all_day_events_page_1,tennis,200,100,98,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=tennis&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A23Z&to=2026-06-05T06%3A08%3A23Z&limit=100&skip=0
basketball_all_day_events_page_1,basketball,200,100,97,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=basketball&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A24Z&to=2026-06-05T06%3A08%3A24Z&limit=100&skip=0
ice-hockey_all_day_events_page_1,ice-hockey,200,100,96,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=ice-hockey&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A25Z&to=2026-06-05T06%3A08%3A25Z&limit=100&skip=0
american-football_all_day_events_page_1,american-football,200,100,95,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=american-football&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A26Z&to=2026-06-05T06%3A08%3A26Z&limit=100&skip=0
baseball_all_day_events_page_1,baseball,200,100,94,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=baseball&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A27Z&to=2026-06-05T06%3A08%3A27Z&limit=100&skip=0
cricket_all_day_events_page_1,cricket,200,100,93,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=cricket&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A28Z&to=2026-06-05T06%3A08%3A28Z&limit=100&skip=0
rugby-union_all_day_events_page_1,rugby-union,400,100,92,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=rugby-union&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A29Z&to=2026-06-05T06%3A08%3A29Z&limit=100&skip=0
rugby-league_all_day_events_page_1,rugby-league,400,100,91,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=rugby-league&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A30Z&to=2026-06-05T06%3A08%3A30Z&limit=100&skip=0
handball_all_day_events_page_1,handball,200,100,90,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=handball&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A31Z&to=2026-06-05T06%3A08%3A31Z&limit=100&skip=0
esports_all_day_events_page_1,esports,200,100,89,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/events?apiKey=***&sport=esports&status=pending%2Clive%2Csettled&bookmaker=Bet365&from=2026-06-04T18%3A08%3A32Z&to=2026-06-05T06%3A08%3A32Z&limit=100&skip=0
baseball_odds_multi_1,,200,100,88,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=63302275%2C63299451%2C63303517%2C63302649%2C63301039%2C63303705&bookmakers=Bet365
tennis_odds_multi_1,,200,100,87,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71828658%2C71828652%2C71814168%2C71899382%2C71814106%2C71758066%2C71828470%2C71750228%2C71762288%2C71917822&bookmakers=Bet365
tennis_odds_multi_2,,200,100,86,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71828648%2C71814172%2C71917418%2C71917536%2C71814126%2C71844388%2C71844392&bookmakers=Bet365
football_odds_multi_1,,200,100,85,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71732912%2C69880386%2C71732914%2C70351024&bookmakers=Bet365
esports_odds_multi_1,,200,100,84,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71815236&bookmakers=Bet365
basketball_odds_multi_1,,200,100,83,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71886900%2C68096042%2C71900670%2C71922994%2C71922996%2C68096226%2C71903038%2C71903040&bookmakers=Bet365
ice-hockey_odds_multi_1,,200,100,82,2026-06-04T19:08:22Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=70558076&bookmakers=Bet365
