event_id,sport,league,date_utc,date_denmark,home,away,status
71421960,Tennis,"Challenger - ATP Challenger Tunis, Tunisia Men Doubles",2026-05-13T12:10:00Z,2026-05-13 14:10,Ouakaa A / Simakin I,Britto L / Saraiva Dos Santos P A,pending
71330262,Tennis,"Challenger - ATP Challenger Tunis, Tunisia Men Singles",2026-05-13T12:10:00Z,2026-05-13 14:10,"Lokoli, Laurent","Gomez, Federico Agustin",pending
71467484,Tennis,"Challenger - ATP Challenger Bordeaux, France Men Singles",2026-05-13T12:30:00Z,2026-05-13 14:30,"Delage, Pierre","Burruchaga, Roman Andres",pending
71328724,Tennis,"Challenger - ATP Challenger Oeiras 4, Portugal Men Singles",2026-05-13T12:30:00Z,2026-05-13 14:30,"Gaubas, Vilius","Brunclik, Petr",pending
71407450,Tennis,"Challenger - ATP Challenger Zagreb, Croatia Men Singles",2026-05-13T12:55:00Z,2026-05-13 14:55,"Mikrut, Luka","Engel, Justin",pending
71419796,Tennis,"Challenger - ATP Challenger Bengaluru 2, India Men Doubles",2026-05-13T12:10:00Z,2026-05-13 14:10,Ganta S K R / Sueoka Y,Betov S / Nedunchezhiyan J,pending
71330336,Tennis,"Challenger - ATP Challenger Tunis, Tunisia Men Singles",2026-05-13T12:10:00Z,2026-05-13 14:10,"Svrcina, Dalibor","Boyer, Tristan",pending
71467258,Tennis,"Challenger - ATP Challenger Valencia, Spain Men Singles",2026-05-13T12:10:00Z,2026-05-13 14:10,"Dzumhur, Damir","Sanchez Quilez, Alejo",pending
71421836,Tennis,"Challenger - ATP Challenger Zagreb, Croatia Men Doubles",2026-05-13T12:30:00Z,2026-05-13 14:30,Duncan S / Whitehouse M,Fatic N / Sabanov M,pending
71352218,Tennis,"WTA 125K - WTA 125K Parma, Italy Women Doubles",2026-05-13T12:35:00Z,2026-05-13 14:35,Fossa Huergo N / Kulambayeva Z,Cascino E / Feng S,pending
71352196,Tennis,"WTA 125K - WTA 125K Parma, Italy Women Singles",2026-05-13T13:10:00Z,2026-05-13 15:10,"Salkova, Dominika","Sherif Ahmed Abdelaziz, Maiar",pending
71244422,Tennis,"ATP - ATP Rome, Italy Men Doubles",2026-05-13T13:20:00Z,2026-05-13 15:20,Goransson A / King E,Bolelli S / Vavassori A,pending
71244424,Tennis,"ATP - ATP Rome, Italy Men Doubles",2026-05-13T13:20:00Z,2026-05-13 15:20,Heliovaara H / Patten H,Michelsen A / Tien L,pending
71419802,Tennis,"Challenger - ATP Challenger Bengaluru 2, India Men Doubles",2026-05-13T13:20:00Z,2026-05-13 15:20,Isomura K / Matsuda R,Kaliyanda Poonacha N / Myneni S,pending
71352204,Tennis,"WTA 125K - WTA 125K Parma, Italy Women Singles",2026-05-13T13:00:00Z,2026-05-13 15:00,"Urgesi, Federica","Golubic, Viktorija",pending
71328802,Tennis,"Challenger - ATP Challenger Oeiras 4, Portugal Men Singles",2026-05-13T13:15:00Z,2026-05-13 15:15,"Kolar, Zdenek","Dellien, Hugo",pending
71421970,Tennis,"Challenger - ATP Challenger Tunis, Tunisia Men Doubles",2026-05-13T13:20:00Z,2026-05-13 15:20,Agostini S / Ribero F,Jans J / Mansouri S,pending
71422848,Tennis,"Challenger - ATP Challenger Oeiras 4, Portugal Men Doubles",2026-05-13T13:55:00Z,2026-05-13 15:55,Banthia S / Donski A,Harper C / Stevenson D,pending
71201148,Tennis,"ATP - ATP Rome, Italy Men Singles",2026-05-13T13:00:00Z,2026-05-13 15:00,"Ruud, Casper","Khachanov, Karen",pending
71352358,Tennis,"WTA 125K - WTA 125K Paris, France Women Singles",2026-05-13T13:10:00Z,2026-05-13 15:10,"Navarro, Emma","Volynets, Katie",pending
71424728,Tennis,"Challenger - ATP Challenger Valencia, Spain Men Singles",2026-05-13T14:00:00Z,2026-05-13 16:00,"Bautista Agut, Roberto","Martinez, Pedro",pending
71407444,Tennis,"Challenger - ATP Challenger Zagreb, Croatia Men Singles",2026-05-13T14:05:00Z,2026-05-13 16:05,"Dodig, Matej","Holmgren, August",pending
71423994,Tennis,"Challenger - ATP Challenger Cordoba, Argentina Men Doubles",2026-05-13T14:00:00Z,2026-05-13 16:00,Merino A / Zeballos F,Gallego J I / Libre A,pending
71351824,Tennis,"Challenger - ATP Challenger Cordoba, Argentina Men Singles",2026-05-13T14:00:00Z,2026-05-13 16:00,"Justo, Guido Ivan","Ambrogi, Luciano Emanuel",pending
71351836,Tennis,"Challenger - ATP Challenger Cordoba, Argentina Men Singles",2026-05-13T14:00:00Z,2026-05-13 16:00,"Ribeiro, Eduardo","Dellien, Murkel",pending
70316186,Football,Uganda - Premier League,2026-05-13T13:00:00Z,2026-05-13 15:00,Mbarara FC,SC Villa,pending
70479306,Football,Tanzania - Premier League,2026-05-13T13:15:00Z,2026-05-13 15:15,Dodoma FC,Young Africans SC,pending
69880312,Football,Egypt - Premier League,2026-05-13T14:00:00Z,2026-05-13 16:00,Haras El Hodood,Al Mokawloon Al Arab,pending
70231952,Football,Greece - Super League,2026-05-13T14:00:00Z,2026-05-13 16:00,Volos NPS,Aris Thessaloniki,pending
70231954,Football,Greece - Super League,2026-05-13T14:00:00Z,2026-05-13 16:00,APO Levadiakos FC,OFI Crete,pending
68685980,Football,Canada - Canadian Premier League,2026-05-13T15:00:00Z,2026-05-13 17:00,Forge FC Hamilton,FC Supra Du Quebec,pending
69880308,Football,Egypt - Premier League,2026-05-13T14:00:00Z,2026-05-13 16:00,Zed FC,Ghazl El Mahallah,pending
61651654,Football,Ukraine - Premier League,2026-05-13T12:30:00Z,2026-05-13 14:30,LNZ Cherkasy,SC Poltava,pending
61651652,Football,Ukraine - Premier League,2026-05-13T12:30:00Z,2026-05-13 14:30,FC Dynamo Kyiv,Kolos Kovalivka,pending
71463790,Football,Kenya - Premier League,2026-05-13T13:00:00Z,2026-05-13 15:00,Ulinzi Stars FC,Leopards SC,pending
71462986,Football,Mali - Ligue 1,2026-05-13T16:30:00Z,2026-05-13 18:30,FC Mali Coura,Djoliba AC,pending
69880314,Football,Egypt - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,National Bank of Egypt SC,Petrojet FC,pending
69880316,Football,Egypt - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,Al Ittihad Al Sakandary,Talaea El Gaish,pending
70812662,Football,Israel - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,Maccabi Netanya FC,Hapoel Haifa FC,pending
70231844,Football,Greece - Super League,2026-05-13T16:30:00Z,2026-05-13 18:30,Olympiacos Piraeus,Panathinaikos Athens,pending
70231854,Football,Greece - Super League,2026-05-13T16:30:00Z,2026-05-13 18:30,PAOK Thessaloniki,AEK Athens,pending
70315368,Football,France - Ligue 1,2026-05-13T17:00:00Z,2026-05-13 19:00,Stade Brest 29,Strasbourg Alsace,pending
70812660,Football,Israel - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,Bnei Sakhnin FC,Hapoel Ironi Kiryat Shmona FC,pending
61651658,Football,Ukraine - Premier League,2026-05-13T15:00:00Z,2026-05-13 17:00,FC Shakhtar Donetsk,FC Obolon Kyiv,pending
71085530,Football,Czechia - 1. Liga,2026-05-13T15:30:00Z,2026-05-13 17:30,FC Hradec Kralove,FC Slovan Liberec,pending
70812664,Football,Israel - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,Ironi Tiberias,Maccabi Bney Reine,pending
70812666,Football,Israel - Premier League,2026-05-13T17:00:00Z,2026-05-13 19:00,MS Ashdod,Hapoel Jerusalem FC,pending
71463050,Football,Senegal - Ligue 1,2026-05-13T17:00:00Z,2026-05-13 19:00,Ajel de Rufisque,Guediawaye FC,pending
71463060,Football,Senegal - Ligue 1,2026-05-13T17:00:00Z,2026-05-13 19:00,Hlm,ASC Linguere,pending
61624648,Football,Spain - LaLiga,2026-05-13T17:00:00Z,2026-05-13 19:00,Espanyol Barcelona,Athletic Bilbao,pending
71452944,Esports,Counter-Strike - CCT European Series,2026-05-13T14:00:00Z,2026-05-13 16:00,Kolesie,Tdk,pending
71475472,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T15:30:00Z,2026-05-13 17:30,Faze Clan,Team Vitality,pending
71475602,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T15:30:00Z,2026-05-13 17:30,B8,Fut eSports,pending
70450196,Esports,League of Legends - LES,2026-05-13T15:00:00Z,2026-05-13 17:00,Barca eSports,Falke eSports,pending
71442548,Esports,Counter-Strike - CCT South American Series,2026-05-13T16:00:00Z,2026-05-13 18:00,Vasco eSports,Red Feet,pending
71442590,Esports,Counter-Strike - CCT South American Series,2026-05-13T13:00:00Z,2026-05-13 15:00,Vexa,Metanoia Wolves,pending
71464780,Esports,Dota - DreamLeague,2026-05-13T13:30:00Z,2026-05-13 15:30,BetBoom Team,Rekonix,pending
71464774,Esports,Dota - DreamLeague,2026-05-13T13:30:00Z,2026-05-13 15:30,Parivision,Tundra eSports,pending
71464776,Esports,Dota - DreamLeague,2026-05-13T13:30:00Z,2026-05-13 15:30,Natus Vincere,Nigma Galaxy,pending
71464778,Esports,Dota - DreamLeague,2026-05-13T13:30:00Z,2026-05-13 15:30,Xtreme Gaming,Playtime,pending
71464784,Esports,Dota - DreamLeague,2026-05-13T17:00:00Z,2026-05-13 19:00,Aurora,Team Falcons,pending
71464786,Esports,Dota - DreamLeague,2026-05-13T17:00:00Z,2026-05-13 19:00,Ex-Heroic,Virtus.pro,pending
71477030,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T18:00:00Z,2026-05-13 20:00,Astralis,Sinners eSports,pending
71475486,Esports,Counter-Strike - CCT European Series,2026-05-13T17:00:00Z,2026-05-13 19:00,Masonic,G2 Ares,pending
71457038,Esports,Counter-Strike - CCT European Series,2026-05-13T17:00:00Z,2026-05-13 19:00,Apogee Esports,Tnc eSports,pending
71464782,Esports,Dota - DreamLeague,2026-05-13T17:00:00Z,2026-05-13 19:00,Team Spirit,Team Liquid,pending
71464788,Esports,Dota - DreamLeague,2026-05-13T17:00:00Z,2026-05-13 19:00,Gamerlegion,Vici Gaming,pending
71477160,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T18:00:00Z,2026-05-13 20:00,Team Gamerlegion,Team Liquid,pending
71477032,Esports,Counter-Strike - Intel Extreme Masters Atlanta,2026-05-13T20:30:00Z,2026-05-13 22:30,Betboom Team,Pain Gaming,pending
71475706,Esports,Rainbow Six - BLAST R6 Major,2026-05-13T20:45:00Z,2026-05-13 22:45,Enterprise eSports,Weibo Gaming,pending
