sport_query,event_id,date_denmark,home,away,league,sport,bookmaker_count,reason
football,67953292,2026-05-13 17:05,Al-Tai,Jeddah Club,Saudi Arabia - Division 1,Football,0,not_good_competition_or_low_coverage
football,62036258,2026-05-13 17:30,Sokol Kolbuszowa Dolna,MKS Czarni Polaniec,"Poland - III Liga, Group 4",Football,0,not_good_competition_or_low_coverage
football,69924658,2026-05-13 17:30,Kultsu FC,Ips,Finland - Kolmonen,Football,0,not_good_competition_or_low_coverage
football,71325692,2026-05-13 17:30,IFK Mariehamn,Puistolan Urheilijat,Finland - Suomen Cup,Football,0,not_good_competition_or_low_coverage
football,71325700,2026-05-13 17:30,VJS,FF Jaro,Finland - Suomen Cup,Football,0,not_good_competition_or_low_coverage
football,62038098,2026-05-13 17:30,MKS Mlawianka Mlawa,Jagiellonia II Bialystok,"Poland - III Liga, Group 1",Football,0,excluded_youth_reserve_friendly_or_exhibition
football,62036268,2026-05-13 17:30,Wisla II Krakow,Cracovia Krakow II,"Poland - III Liga, Group 4",Football,0,excluded_youth_reserve_friendly_or_exhibition
football,61062283,2026-05-13 18:00,MKS Arka Gdynia,Gornik Zabrze,Poland - Ekstraklasa,Football,0,not_good_competition_or_low_coverage
football,71403922,2026-05-13 18:00,Manama Club,Etehad Alreef,Bahrain - 2nd Division,Football,0,not_good_competition_or_low_coverage
football,71403924,2026-05-13 18:00,Al Ittihad,Um Alhassam,Bahrain - 2nd Division,Football,0,not_good_competition_or_low_coverage
football,71403926,2026-05-13 18:00,Busaiteen,AL Hala,Bahrain - 2nd Division,Football,0,not_good_competition_or_low_coverage
football,71213320,2026-05-13 18:00,Saku Sporting,Viimsi JK,"Estonia - Cup, Women",Football,0,not_good_competition_or_low_coverage
football,71344704,2026-05-13 18:00,Medina United FC,Fortune,Gambia - Division One,Football,0,not_good_competition_or_low_coverage
football,70670028,2026-05-13 18:00,HNK Rijeka,GNK Dinamo Zagreb,Croatia - Croatian Cup,Football,0,not_good_competition_or_low_coverage
football,71133098,2026-05-13 18:00,FC Milsami,FC Zimbru Chisinau,Moldova - Cupa Moldovei,Football,0,not_good_competition_or_low_coverage
football,71133102,2026-05-13 18:00,FC Sheriff Tiraspol,Petrocub Hincesti,Moldova - Cupa Moldovei,Football,0,not_good_competition_or_low_coverage
football,62036880,2026-05-13 18:00,KS Polonia Nysa,KS Lechia Zielona Gora,"Poland - III Liga, Group 3",Football,0,not_good_competition_or_low_coverage
football,62036874,2026-05-13 18:00,SKRA Czestochowa,KS Sleza Wroclaw,"Poland - III Liga, Group 3",Football,0,not_good_competition_or_low_coverage
