event_id,sport,date_denmark,home,away,league,bookmaker,market,label,home_odds,draw_odds,away_odds,over,under,yes,no,hdp,raw_odds,updated_at
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,ML,,1.00,,17.00,,,,,,"{""home"": ""1.00"", ""away"": ""17.00""}",2026-05-08T02:38:19.486Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,Spread,,1.12,,5.50,,,,,-1.5,"{""hdp"": -1.5, ""home"": ""1.12"", ""away"": ""5.50""}",2026-05-08T02:38:19.486Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,1st Map Moneyline,,1.06,,8.00,,,,,,"{""home"": ""1.06"", ""away"": ""8.00""}",2026-05-08T02:38:19.486Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,2nd Map Moneyline,,1.06,,8.00,,,,,,"{""home"": ""1.06"", ""away"": ""8.00""}",2026-05-08T02:38:19.486Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,1st Map Handicap,,,,,1.83,1.83,,,-15.5,"{""hdp"": -15.5, ""over"": ""1.83"", ""under"": ""1.83""}",2026-05-13T14:06:31.004Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,2nd Map Handicap,,,,,1.83,1.83,,,-15.5,"{""hdp"": -15.5, ""over"": ""1.83"", ""under"": ""1.83""}",2026-05-13T14:14:42.792Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,1st Map Total Kills,,,,,1.83,1.83,,,29.5,"{""hdp"": 29.5, ""over"": ""1.83"", ""under"": ""1.83""}",2026-05-13T06:36:11.916Z
70450196,Esports,2026-05-13 17:00,Barca eSports,Falke eSports,League of Legends - LES,Bet365,2nd Map Total Kills,,,,,1.83,1.83,,,29.5,"{""hdp"": 29.5, ""over"": ""1.83"", ""under"": ""1.83""}",2026-05-13T06:16:41.256Z
71475602,Esports,2026-05-13 17:30,B8,Fut eSports,Counter-Strike - Intel Extreme Masters Atlanta,Bet365,ML,,3.00,,1.36,,,,,,"{""home"": ""3.00"", ""away"": ""1.36""}",2026-05-13T06:08:44.353Z
71475602,Esports,2026-05-13 17:30,B8,Fut eSports,Counter-Strike - Intel Extreme Masters Atlanta,Bet365,Spread,,1.57,,2.25,,,,,1.5,"{""hdp"": 1.5, ""home"": ""1.57"", ""away"": ""2.25""}",2026-05-13T06:08:44.353Z
