label,sport,status_code,x_ratelimit_limit,x_ratelimit_remaining,x_ratelimit_reset,url
football_events_page_1,football,200,100,41,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=football&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
football_events_page_2,football,200,100,40,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=football&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=100
tennis_events_page_1,tennis,200,100,39,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=tennis&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
basketball_events_page_1,basketball,200,100,38,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=basketball&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
ice-hockey_events_page_1,ice-hockey,200,100,37,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=ice-hockey&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
american-football_events_page_1,american-football,200,100,36,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=american-football&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
baseball_events_page_1,baseball,200,100,35,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=baseball&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
cricket_events_page_1,cricket,200,100,34,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=cricket&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
rugby-union_events_page_1,rugby-union,400,100,33,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=rugby-union&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
rugby-league_events_page_1,rugby-league,400,100,32,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=rugby-league&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
handball_events_page_1,handball,200,100,31,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=handball&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
esports_events_page_1,esports,200,100,30,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/events?apiKey=***&sport=esports&status=pending&bookmaker=Bet365&from=2026-05-12T22%3A00%3A00Z&to=2026-05-13T21%3A59%3A59Z&limit=100&skip=0
baseball_odds_multi_1,,200,100,29,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=69055840%2C69057018%2C69057020%2C69057022%2C63302067&bookmakers=Bet365
tennis_odds_multi_1,,200,100,28,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71244422%2C71467482%2C71421970%2C71352358%2C71352212%2C71351830%2C71467254%2C71451432%2C71425832%2C71351834&bookmakers=Bet365
tennis_odds_multi_2,,200,100,27,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71351840%2C71201162%2C71351832&bookmakers=Bet365
esports_odds_multi_1,,200,100,26,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71475472%2C71475602%2C71442548%2C71475486%2C71457038%2C71464782%2C71464784%2C71464786%2C71464788%2C71477030&bookmakers=Bet365
esports_odds_multi_2,,200,100,25,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71477160%2C71477032%2C71475706&bookmakers=Bet365
football_odds_multi_1,,200,100,24,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=71085530%2C70231844%2C70231854%2C71462986%2C69880314%2C69880316%2C70315368%2C70812660%2C70812662%2C70812664&bookmakers=Bet365
football_odds_multi_2,,200,100,23,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=70812666%2C71463050%2C71463060%2C61624648%2C61624654%2C67126086%2C67126088%2C67126092%2C67126096%2C67126098&bookmakers=Bet365
football_odds_multi_3,,200,100,22,2026-05-13T15:11:23Z,https://api.odds-api.io/v3/odds/multi?apiKey=***&eventIds=70812404%2C71244954%2C71085532%2C70722406%2C71463044&bookmakers=Bet365
