fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality
odds_api_io_67645510,2026-05-13,10:00,Machida Zelvia,Tokyo Verdy,japan-jleague,odds_api_io_Bet365_ML,free_api_market_proxy,1.8,3.25,5.0,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_67644942,2026-05-13,10:00,Vissel Kobe,Kyoto Sanga FC,japan-jleague,odds_api_io_Bet365_ML,free_api_market_proxy,1.7,3.6,5.0,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_67817696,2026-05-13,10:30,FC Anyang,Gimcheon Sangmu FC,republic-of-korea-k-league-1,odds_api_io_Bet365_ML,free_api_market_proxy,2.35,3.1,2.875,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_67817698,2026-05-13,10:30,Bucheon FC 1995,Jeonbuk FC,republic-of-korea-k-league-1,odds_api_io_Bet365_ML,free_api_market_proxy,4.1,3.3,1.8,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_67817700,2026-05-13,10:30,Ulsan HD FC,Jeju SK FC,republic-of-korea-k-league-1,odds_api_io_Bet365_ML,free_api_market_proxy,1.85,3.3,4.0,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_70906782,2026-05-13,12:15,PFC Slavia Sofia,PFC Dobrudzha Dobrich,bulgaria-parva-liga,odds_api_io_Bet365_ML,free_api_market_proxy,2.6,3.4,2.5,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_70231954,2026-05-13,14:00,APO Levadiakos FC,OFI Crete,greece-super-league,odds_api_io_Bet365_ML,free_api_market_proxy,1.615,4.2,5.0,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_70231952,2026-05-13,14:00,Volos NPS,Aris Thessaloniki,greece-super-league,odds_api_io_Bet365_ML,free_api_market_proxy,4.0,3.5,1.9,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_70905772,2026-05-13,14:45,PFC CSKA Sofia,FC CSKA 1948,bulgaria-parva-liga,odds_api_io_Bet365_ML,free_api_market_proxy,2.2,3.1,3.5,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_68685980,2026-05-13,15:00,Forge FC Hamilton,FC Supra Du Quebec,canada-canadian-premier-league,odds_api_io_Bet365_ML,free_api_market_proxy,1.666,4.5,3.6,2026-05-13T02:29:19.153312+00:00,free_api_market_proxy_capped_multi_event_call
odds_api_io_61062283,2026-05-13,16:00,MKS Arka Gdynia,Gornik Zabrze,poland-ekstraklasa,odds_api_io_Bet365_ML,free_api_market_proxy,3.5,3.25,2.05,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70231844,2026-05-13,16:30,Olympiacos Piraeus,Panathinaikos Athens,greece-super-league,odds_api_io_Bet365_ML,free_api_market_proxy,1.45,4.1,8.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70231854,2026-05-13,16:30,PAOK Thessaloniki,AEK Athens,greece-super-league,odds_api_io_Bet365_ML,free_api_market_proxy,1.666,3.75,5.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_61624648,2026-05-13,17:00,Espanyol Barcelona,Athletic Bilbao,spain-laliga,odds_api_io_Bet365_ML,free_api_market_proxy,2.625,3.3,2.7,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_67126096,2026-05-13,17:00,Falkenbergs FF,Varbergs BoIS,sweden-superettan,odds_api_io_Bet365_ML,free_api_market_proxy,2.5,3.25,2.6,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_67126086,2026-05-13,17:00,Helsingborgs IF,IK Oddevold,sweden-superettan,odds_api_io_Bet365_ML,free_api_market_proxy,2.35,3.3,2.75,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_67126088,2026-05-13,17:00,IFK Norrkoping FK,Nordic United FC,sweden-superettan,odds_api_io_Bet365_ML,free_api_market_proxy,1.7,3.7,4.1,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_67126098,2026-05-13,17:00,IK Brage,Ostersunds FK,sweden-superettan,odds_api_io_Bet365_ML,free_api_market_proxy,2.2,3.25,3.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_67126092,2026-05-13,17:00,Osters IF,Sandvikens IF,sweden-superettan,odds_api_io_Bet365_ML,free_api_market_proxy,1.95,3.5,3.3,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70315368,2026-05-13,17:00,Stade Brest 29,Strasbourg Alsace,france-ligue-1,odds_api_io_Bet365_ML,free_api_market_proxy,2.8,3.6,2.4,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70905774,2026-05-13,17:15,PFC Ludogorets 1945 Razgrad,PFC Levski Sofia,bulgaria-parva-liga,odds_api_io_Bet365_ML,free_api_market_proxy,1.7,3.6,5.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70722406,2026-05-13,18:00,Arsenal WFC,Everton FC,england-amateur-super-league-women,odds_api_io_Bet365_ML,free_api_market_proxy,1.09,9.5,21.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71282488,2026-05-13,18:00,FK Vojvodina Novi Sad,FK Crvena Zvezda Belgrade,serbia-serbian-cup,odds_api_io_Bet365_ML,free_api_market_proxy,7.5,4.75,1.363,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_61624654,2026-05-13,17:00,Villarreal CF,Sevilla FC,spain-laliga,odds_api_io_Bet365_ML,free_api_market_proxy,2.05,3.4,3.7,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_61062299,2026-05-13,18:30,RKS Rakow Czestochowa,Jagiellonia Bialystok,poland-ekstraklasa,odds_api_io_Bet365_ML,free_api_market_proxy,2.05,3.4,3.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71406950,2026-05-13,18:45,Alloa Athletic FC,Stenhousemuir FC,scotland-championship,odds_api_io_Bet365_ML,free_api_market_proxy,2.4,3.3,2.875,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70674830,2026-05-13,19:00,Glasgow Rangers,Hibernian FC,scotland-premiership,odds_api_io_Bet365_ML,free_api_market_proxy,1.5,4.75,5.5,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70674826,2026-05-13,19:00,Heart of Midlothian FC,Falkirk FC,scotland-premiership,odds_api_io_Bet365_ML,free_api_market_proxy,1.42,4.75,7.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71019438,2026-05-13,19:00,Lazio Rome,Inter Milano,italy-coppa-italia,odds_api_io_Bet365_ML,free_api_market_proxy,5.0,3.8,1.666,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70674828,2026-05-13,19:00,Motherwell FC,Celtic Glasgow,scotland-premiership,odds_api_io_Bet365_ML,free_api_market_proxy,4.5,4.2,1.666,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70315360,2026-05-13,19:00,Racing Club De Lens,Paris Saint-Germain,france-ligue-1,odds_api_io_Bet365_ML,free_api_market_proxy,3.3,3.9,2.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71242306,2026-05-13,19:00,Stockport County FC,Stevenage FC,england-league-one,odds_api_io_Bet365_ML,free_api_market_proxy,1.833,3.4,4.333,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70784812,2026-05-13,19:00,Manchester City,Crystal Palace,england-premier-league,odds_api_io_Bet365_ML,free_api_market_proxy,1.2,7.5,12.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_61624638,2026-05-13,19:30,Deportivo Alaves,FC Barcelona,spain-laliga,odds_api_io_Bet365_ML,free_api_market_proxy,3.25,4.0,2.05,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_61624644,2026-05-13,19:30,Getafe CF,RCD Mallorca,spain-laliga,odds_api_io_Bet365_ML,free_api_market_proxy,2.1,3.0,3.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71325020,2026-05-13,21:00,Bogota FC,Barranquilla FC,colombia-primera-b,odds_api_io_Bet365_ML,free_api_market_proxy,1.75,3.7,4.333,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71428928,2026-05-13,21:45,CA Rosario Central,Racing Club Avellaneda,argentina-liga-profesional,odds_api_io_Bet365_ML,free_api_market_proxy,2.25,3.0,3.6,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70452650,2026-05-13,22:00,CR Vasco da Gama RJ,Paysandu SC PA,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,1.25,5.5,11.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401280,2026-05-13,22:00,EC Juventude RS,Sao Paulo FC SP,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,3.6,3.2,2.1,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401282,2026-05-13,22:30,Coritiba FC PR,Santos FC SP,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,2.7,2.8,3.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71297426,2026-05-13,23:00,AD Pasto,CD Tolima,colombia-primera-a-apertura,odds_api_io_Bet365_ML,free_api_market_proxy,2.2,3.0,3.6,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71172386,2026-05-13,23:00,Carabobo FC,Estudiantes de Merida,venezuela-primera-division,odds_api_io_Bet365_ML,free_api_market_proxy,1.48,3.5,6.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299148,2026-05-13,23:15,Charlotte FC,New York City FC,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,2.2,3.75,3.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71172362,2026-05-13,23:30,Academia Puerto Cabello,Portuguesa FC,venezuela-primera-division,odds_api_io_Bet365_ML,free_api_market_proxy,1.75,3.25,4.5,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299150,2026-05-13,23:30,FC Cincinnati,Inter Miami CF,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,3.1,4.0,2.1,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299152,2026-05-13,23:30,DC United,Chicago Fire,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,2.75,3.6,2.45,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401292,2026-05-13,23:30,Mirassol FC SP,Red Bull Bragantino SP,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,2.35,3.0,3.25,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299154,2026-05-13,23:30,CF Montreal,Portland Timbers,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,1.95,4.0,3.5,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299156,2026-05-13,23:30,New England Revolution,Nashville SC,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,2.8,3.6,2.4,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299158,2026-05-13,23:30,New York Red Bulls,Columbus Crew,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,2.9,3.9,2.2,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299160,2026-05-13,23:30,Orlando City SC,Philadelphia Union,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,3.0,3.75,2.2,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_71428930,2026-05-14,00:30,CA River Plate (ARG),Gimnasia y Esgrima La Plata,argentina-liga-profesional,odds_api_io_Bet365_ML,free_api_market_proxy,1.5,3.8,7.5,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401310,2026-05-14,00:30,Ceara SC CE,Atletico Mineiro MG,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,2.8,3.1,2.6,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401296,2026-05-14,00:30,Clube do Remo PA,EC Bahia BA,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,3.3,3.3,2.15,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299162,2026-05-14,00:30,FC Dallas,Vancouver Whitecaps FC,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,3.7,3.6,2.0,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_70401286,2026-05-14,00:30,EC Jacuipense BA,SE Palmeiras SP,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,9.5,5.5,1.285,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299166,2026-05-14,00:30,Minnesota United FC,Colorado Rapids,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,1.75,3.9,4.5,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299168,2026-05-14,00:30,Saint Louis City SC,Los Angeles FC,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,2.6,3.6,2.55,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
odds_api_io_66299164,2026-05-14,00:30,Sporting Kansas City,Los Angeles Galaxy,usa-mls,odds_api_io_Bet365_ML,free_api_market_proxy,3.8,4.0,1.85,2026-05-13T02:29:23.645087+00:00,free_api_market_proxy_extra_multi_event_call
fd_E0_2026-05-13_Man_City_Crystal_Palace,2026-05-13,20:00,Man City,Crystal Palace,premier_league,football_data_bet365_proxy,delayed_market_proxy,1.2,7.5,12.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_E0_2026-05-13_Man_City_Crystal_Palace,2026-05-13,20:00,Man City,Crystal Palace,premier_league,football_data_max_market_proxy,delayed_market_proxy,1.22,7.5,15.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_E0_2026-05-13_Man_City_Crystal_Palace,2026-05-13,20:00,Man City,Crystal Palace,premier_league,football_data_average_market_proxy,delayed_market_proxy,1.19,7.03,12.75,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Brest_Strasbourg,2026-05-13,18:00,Brest,Strasbourg,ligue_1,football_data_bet365_proxy,delayed_market_proxy,2.63,3.6,2.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Brest_Strasbourg,2026-05-13,18:00,Brest,Strasbourg,ligue_1,football_data_max_market_proxy,delayed_market_proxy,2.8,3.6,2.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Brest_Strasbourg,2026-05-13,18:00,Brest,Strasbourg,ligue_1,football_data_average_market_proxy,delayed_market_proxy,2.68,3.47,2.42,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Lens_Paris_SG,2026-05-13,20:00,Lens,Paris SG,ligue_1,football_data_bet365_proxy,delayed_market_proxy,3.4,4.0,1.95,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Lens_Paris_SG,2026-05-13,20:00,Lens,Paris SG,ligue_1,football_data_max_market_proxy,delayed_market_proxy,3.5,4.0,2.05,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_F1_2026-05-13_Lens_Paris_SG,2026-05-13,20:00,Lens,Paris SG,ligue_1,football_data_average_market_proxy,delayed_market_proxy,3.3,3.91,1.95,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Levadeiakos_OFI_Crete,2026-05-13,15:00,Levadeiakos,OFI Crete,G1,football_data_bet365_proxy,delayed_market_proxy,1.57,4.2,5.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Levadeiakos_OFI_Crete,2026-05-13,15:00,Levadeiakos,OFI Crete,G1,football_data_max_market_proxy,delayed_market_proxy,1.68,4.2,5.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Levadeiakos_OFI_Crete,2026-05-13,15:00,Levadeiakos,OFI Crete,G1,football_data_average_market_proxy,delayed_market_proxy,1.6,3.89,4.66,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Volos_NFC_Aris,2026-05-13,15:00,Volos NFC,Aris,G1,football_data_bet365_proxy,delayed_market_proxy,4.33,3.2,1.91,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Volos_NFC_Aris,2026-05-13,15:00,Volos NFC,Aris,G1,football_data_max_market_proxy,delayed_market_proxy,4.33,3.6,2.05,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Volos_NFC_Aris,2026-05-13,15:00,Volos NFC,Aris,G1,football_data_average_market_proxy,delayed_market_proxy,3.57,3.29,1.96,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Olympiakos_Panathinaikos,2026-05-13,17:30,Olympiakos,Panathinaikos,G1,football_data_bet365_proxy,delayed_market_proxy,1.41,4.2,8.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Olympiakos_Panathinaikos,2026-05-13,17:30,Olympiakos,Panathinaikos,G1,football_data_max_market_proxy,delayed_market_proxy,1.42,4.5,8.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_Olympiakos_Panathinaikos,2026-05-13,17:30,Olympiakos,Panathinaikos,G1,football_data_average_market_proxy,delayed_market_proxy,1.38,4.21,7.59,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_PAOK_AEK,2026-05-13,17:30,PAOK,AEK,G1,football_data_bet365_proxy,delayed_market_proxy,1.68,3.7,5.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_PAOK_AEK,2026-05-13,17:30,PAOK,AEK,G1,football_data_max_market_proxy,delayed_market_proxy,1.74,3.8,5.0,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_G1_2026-05-13_PAOK_AEK,2026-05-13,17:30,PAOK,AEK,G1,football_data_average_market_proxy,delayed_market_proxy,1.69,3.53,4.56,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_bet365_proxy,delayed_market_proxy,1.41,4.75,6.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_max_market_proxy,delayed_market_proxy,1.44,4.9,7.5,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Hearts_Falkirk,2026-05-13,20:00,Hearts,Falkirk,SC0,football_data_average_market_proxy,delayed_market_proxy,1.4,4.6,6.82,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Motherwell_Celtic,2026-05-13,20:00,Motherwell,Celtic,SC0,football_data_bet365_proxy,delayed_market_proxy,4.33,4.1,1.66,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
fd_SC0_2026-05-13_Motherwell_Celtic,2026-05-13,20:00,Motherwell,Celtic,SC0,football_data_max_market_proxy,delayed_market_proxy,4.4,4.2,1.73,2026-05-13T02:28:43.033852+00:00,free_delayed_fixture_odds_proxy
