bet_number,bankroll,drawdown
1,100.4,0.0
2,99.4,1.0
3,98.4,2.0
4,97.4,3.0
5,96.4,4.0
6,97.1,3.3
7,96.1,4.3
8,95.1,5.3
9,102.6,0.0
10,101.6,1.0
11,104.35,0.0
12,103.35,1.0
13,102.35,2.0
14,101.35,3.0
15,101.65,2.7
16,100.65,3.7
17,99.65,4.7
18,100.35,4.0
19,99.35,5.0
20,98.35,6.0
21,99.8,4.55
22,100.2,4.15
23,99.2,5.15
24,98.2,6.15
25,97.2,7.15
26,96.2,8.15
27,96.9,7.45
28,95.9,8.45
29,94.9,9.45
30,102.4,1.95
31,101.4,2.95
32,104.15,0.2
33,103.15,1.2
34,102.15,2.2
35,101.15,3.2
36,101.45,2.9
37,100.45,3.9
38,99.45,4.9
39,100.15,4.2
40,99.15,5.2
41,98.15,6.2
42,99.6,4.75
43,100.0,4.35
44,99.0,5.35
45,98.0,6.35
46,97.0,7.35
47,96.0,8.35
48,96.7,7.65
49,95.7,8.65
50,94.7,9.65
51,102.2,2.15
52,101.2,3.15
53,103.95,0.4
54,102.95,1.4
55,101.95,2.4
56,100.95,3.4
57,101.25,3.1
58,100.25,4.1
59,99.25,5.1
60,99.95,4.4
61,98.95,5.4
62,97.95,6.4
63,99.4,4.95
64,99.8,4.55
65,98.8,5.55
66,97.8,6.55
67,96.8,7.55
68,95.8,8.55
69,96.5,7.85
70,95.5,8.85
71,94.5,9.85
72,102.0,2.35
73,101.0,3.35
74,103.75,0.6
75,102.75,1.6
76,101.75,2.6
77,100.75,3.6
78,101.05,3.3
79,100.05,4.3
80,99.05,5.3
81,99.75,4.6
82,98.75,5.6
83,97.75,6.6
84,99.2,5.15
85,99.6,4.75
86,98.6,5.75
87,97.6,6.75
88,96.6,7.75
89,95.6,8.75
90,96.3,8.05
91,95.3,9.05
92,94.3,10.05
93,101.8,2.55
94,100.8,3.55
95,103.55,0.8
96,102.55,1.8
97,101.55,2.8
98,100.55,3.8
99,100.85,3.5
100,99.85,4.5
101,98.85,5.5
102,99.55,4.8
103,98.55,5.8
104,97.55,6.8
105,99.0,5.35
106,99.4,4.95
107,98.4,5.95
108,97.4,6.95
109,96.4,7.95
110,95.4,8.95
111,96.1,8.25
112,95.1,9.25
113,94.1,10.25
114,101.6,2.75
115,100.6,3.75
116,103.35,1.0
117,102.35,2.0
118,101.35,3.0
119,100.35,4.0
120,100.65,3.7
121,99.65,4.7
122,98.65,5.7
123,99.35,5.0
124,98.35,6.0
125,97.35,7.0
126,98.8,5.55
127,99.2,5.15
128,98.2,6.15
129,97.2,7.15
130,96.2,8.15
131,95.2,9.15
132,95.9,8.45
133,94.9,9.45
134,93.9,10.45
135,101.4,2.95
136,100.4,3.95
137,103.15,1.2
138,102.15,2.2
139,101.15,3.2
140,100.15,4.2
141,100.45,3.9
142,99.45,4.9
143,98.45,5.9
144,99.15,5.2
145,98.15,6.2
146,97.15,7.2
147,98.6,5.75
148,99.0,5.35
149,98.0,6.35
150,97.0,7.35
151,96.0,8.35
152,95.0,9.35
153,95.7,8.65
154,94.7,9.65
155,93.7,10.65
156,101.2,3.15
157,100.2,4.15
158,102.95,1.4
159,101.95,2.4
160,100.95,3.4
161,99.95,4.4
162,100.25,4.1
163,99.25,5.1
164,98.25,6.1
165,98.95,5.4
166,97.95,6.4
167,96.95,7.4
168,98.4,5.95
169,98.8,5.55
170,97.8,6.55
171,96.8,7.55
172,95.8,8.55
173,94.8,9.55
174,95.5,8.85
175,94.5,9.85
176,93.5,10.85
177,101.0,3.35
178,100.0,4.35
179,102.75,1.6
180,101.75,2.6
181,100.75,3.6
182,99.75,4.6
183,100.05,4.3
184,99.05,5.3
185,98.05,6.3
186,98.75,5.6
187,97.75,6.6
188,96.75,7.6
189,98.2,6.15
190,98.64,5.71
191,97.64,6.71
192,96.64,7.71
193,95.64,8.71
194,94.64,9.71
195,95.94,8.41
196,94.94,9.41
197,93.94,10.41
198,96.13,8.22
199,95.13,9.22
200,97.31,7.04
201,96.31,8.04
202,95.31,9.04
203,94.31,10.04
204,95.02,9.33
205,94.02,10.33
206,93.02,11.33
207,94.54,9.81
208,93.54,10.81
209,92.54,11.81
210,96.55,7.8
