fixture_id,match_date,match_time,side,source_team,normalized_source_team,matched_model_team,match_type,suggested_model_team
odds_api_io_68822926,2026-06-01,22:00,home_team,AA Ponte Preta SP,aa ponte preta sp,,unmatched,
odds_api_io_68822926,2026-06-01,22:00,away_team,Botafogo FC SP,botafogo sp,,unmatched,
odds_api_io_71685300,2026-06-01,17:30,home_team,AL Najaf,al najaf,,unmatched,
odds_api_io_71685300,2026-06-01,17:30,away_team,Al Zawraa,al zawraa,,unmatched,
odds_api_io_71685298,2026-06-01,17:30,home_team,AL Talaba,al talaba,,unmatched,
odds_api_io_71685298,2026-06-01,17:30,away_team,AL Karkh,al karkh,,unmatched,
odds_api_io_67119354,2026-06-01,18:30,home_team,Argentino de Quilmes,argentino de quilmes,,unmatched,
odds_api_io_67119354,2026-06-01,18:30,away_team,CA Ituzaingo,ca ituzaingo,,unmatched,
odds_api_io_71633100,2026-06-01,18:00,home_team,Athletic Club MG,athletic club mg,,unmatched,
odds_api_io_71633100,2026-06-01,18:00,away_team,Atletico Mineiro MG,atletico mineiro mg,,unmatched,
odds_api_io_70321100,2026-06-01,19:00,home_team,FC Atletico CE,atletico ce,,unmatched,
odds_api_io_70321100,2026-06-01,19:00,away_team,Piaui PI,piaui pi,,unmatched,
odds_api_io_68269904,2026-06-01,18:45,home_team,Austria,austria,,unmatched,
odds_api_io_68269904,2026-06-01,18:45,away_team,Tunisia,tunisia,,unmatched,
odds_api_io_69255072,2026-06-01,23:00,home_team,Barra FC SC,barra sc,,unmatched,
odds_api_io_69255072,2026-06-01,23:00,away_team,Brusque FC SC,brusque sc,,unmatched,
odds_api_io_71737152,2026-06-01,18:00,home_team,CA Boston River,ca boston river,,unmatched,
odds_api_io_71737152,2026-06-01,18:00,away_team,Liverpool Montevideo,liverpool montevideo,,unmatched,
odds_api_io_67125798,2026-06-01,18:30,home_team,CA Fenix Pilar,ca fenix pilar,,unmatched,
odds_api_io_67125798,2026-06-01,18:30,away_team,Canuelas FC,canuelas,,unmatched,
odds_api_io_71737154,2026-06-01,23:00,home_team,CA Penarol Montevideo,ca penarol montevideo,,unmatched,
odds_api_io_71737154,2026-06-01,23:00,away_team,Central Espanol FC,central espanol,,unmatched,
odds_api_io_71772922,2026-06-01,18:00,home_team,CA River Plate (URU),ca river plate (uru),,unmatched,
odds_api_io_71772922,2026-06-01,18:00,away_team,Colon FC Reserve,colon reserve,,unmatched,
odds_api_io_68097928,2026-06-01,23:00,home_team,CD Santa Cruz,cd santa cruz,,unmatched,
odds_api_io_68097928,2026-06-01,23:00,away_team,Deportes Copiapo,deportes copiapo,,unmatched,
odds_api_io_71842028,2026-06-01,19:30,home_team,Chapaquito Nacional Senac,chapaquito nacional senac,,unmatched,
odds_api_io_71842028,2026-06-01,19:30,away_team,Club Deportivo San Martin,club deportivo san martin,,unmatched,
