fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc
fd_E0_2026-05-13_Man_City_Crystal_Palace,premier_league,E0,upcoming,2026-05-13,20:00,Man City,Crystal Palace,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_F1_2026-05-13_Brest_Strasbourg,ligue_1,F1,upcoming,2026-05-13,18:00,Brest,Strasbourg,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_F1_2026-05-13_Lens_Paris_SG,ligue_1,F1,upcoming,2026-05-13,20:00,Lens,Paris SG,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-12_Asteras_Tripolis_Panserraikos,G1,G1,upcoming,2026-05-12,17:00,Asteras Tripolis,Panserraikos,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-12_Kifisia_Atromitos,G1,G1,upcoming,2026-05-12,17:00,Kifisia,Atromitos,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-12_Panetolikos_Larisa,G1,G1,upcoming,2026-05-12,17:00,Panetolikos,Larisa,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-13_Levadeiakos_OFI_Crete,G1,G1,upcoming,2026-05-13,15:00,Levadeiakos,OFI Crete,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-13_Volos_NFC_Aris,G1,G1,upcoming,2026-05-13,15:00,Volos NFC,Aris,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-13_Olympiakos_Panathinaikos,G1,G1,upcoming,2026-05-13,17:30,Olympiakos,Panathinaikos,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_G1_2026-05-13_PAOK_AEK,G1,G1,upcoming,2026-05-13,17:30,PAOK,AEK,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-12_Aberdeen_St_Mirren,SC0,SC0,upcoming,2026-05-12,19:45,Aberdeen,St Mirren,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-12_Dundee_United_Livingston,SC0,SC0,upcoming,2026-05-12,19:45,Dundee United,Livingston,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-12_Kilmarnock_Dundee,SC0,SC0,upcoming,2026-05-12,19:45,Kilmarnock,Dundee,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-13_Hearts_Falkirk,SC0,SC0,upcoming,2026-05-13,20:00,Hearts,Falkirk,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-13_Motherwell_Celtic,SC0,SC0,upcoming,2026-05-13,20:00,Motherwell,Celtic,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SC0_2026-05-13_Rangers_Hibernian,SC0,SC0,upcoming,2026-05-13,20:00,Rangers,Hibernian,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-12_Celta_Levante,la_liga,SP1,upcoming,2026-05-12,18:00,Celta,Levante,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-12_Betis_Elche,la_liga,SP1,upcoming,2026-05-12,19:00,Betis,Elche,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-12_Osasuna_Ath_Madrid,la_liga,SP1,upcoming,2026-05-12,20:30,Osasuna,Ath Madrid,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,la_liga,SP1,upcoming,2026-05-13,18:00,Espanol,Ath Bilbao,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-13_Villarreal_Sevilla,la_liga,SP1,upcoming,2026-05-13,18:00,Villarreal,Sevilla,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-13_Alaves_Barcelona,la_liga,SP1,upcoming,2026-05-13,20:30,Alaves,Barcelona,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-13_Getafe_Mallorca,la_liga,SP1,upcoming,2026-05-13,20:30,Getafe,Mallorca,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-14_Valencia_Vallecano,la_liga,SP1,upcoming,2026-05-14,18:00,Valencia,Vallecano,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-14_Girona_Sociedad,la_liga,SP1,upcoming,2026-05-14,19:00,Girona,Sociedad,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
fd_SP1_2026-05-14_Real_Madrid_Oviedo,la_liga,SP1,upcoming,2026-05-14,20:30,Real Madrid,Oviedo,football_data_fixtures_proxy,2026-05-12T12:33:30.670159+00:00
