fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality,raw_source_url
fd_B1_2026-05-17_Anderlecht_Mechelen,2026-05-17,12:30,Anderlecht,Mechelen,B1,football_data_bet365_proxy,delayed_market_proxy,1.83,3.6,3.75,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_B1_2026-05-17_Anderlecht_Mechelen,2026-05-17,12:30,Anderlecht,Mechelen,B1,football_data_max_market_proxy,delayed_market_proxy,1.87,4.0,4.0,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_B1_2026-05-17_Anderlecht_Mechelen,2026-05-17,12:30,Anderlecht,Mechelen,B1,football_data_average_market_proxy,delayed_market_proxy,1.8,3.72,3.79,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_B1_2026-05-17_Club_Brugge_St._Gilloise,2026-05-17,17:30,Club Brugge,St. Gilloise,B1,football_data_bet365_proxy,delayed_market_proxy,2.05,3.5,3.1,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_B1_2026-05-17_Club_Brugge_St._Gilloise,2026-05-17,17:30,Club Brugge,St. Gilloise,B1,football_data_max_market_proxy,delayed_market_proxy,2.1,3.8,3.45,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_B1_2026-05-17_Club_Brugge_St._Gilloise,2026-05-17,17:30,Club Brugge,St. Gilloise,B1,football_data_average_market_proxy,delayed_market_proxy,2.02,3.51,3.23,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Bielefeld_Hertha,2026-05-17,14:30,Bielefeld,Hertha,D2,football_data_bet365_proxy,delayed_market_proxy,1.73,3.9,4.33,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Bielefeld_Hertha,2026-05-17,14:30,Bielefeld,Hertha,D2,football_data_max_market_proxy,delayed_market_proxy,1.75,4.4,4.33,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Bielefeld_Hertha,2026-05-17,14:30,Bielefeld,Hertha,D2,football_data_average_market_proxy,delayed_market_proxy,1.7,4.08,3.93,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Darmstadt_Paderborn,2026-05-17,14:30,Darmstadt,Paderborn,D2,football_data_bet365_proxy,delayed_market_proxy,3.25,4.1,1.83,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Darmstadt_Paderborn,2026-05-17,14:30,Darmstadt,Paderborn,D2,football_data_max_market_proxy,delayed_market_proxy,3.5,4.33,1.93,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Darmstadt_Paderborn,2026-05-17,14:30,Darmstadt,Paderborn,D2,football_data_average_market_proxy,delayed_market_proxy,3.32,4.04,1.84,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Dresden_Holstein_Kiel,2026-05-17,14:30,Dresden,Holstein Kiel,D2,football_data_bet365_proxy,delayed_market_proxy,1.67,4.1,4.2,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Dresden_Holstein_Kiel,2026-05-17,14:30,Dresden,Holstein Kiel,D2,football_data_max_market_proxy,delayed_market_proxy,1.73,4.1,4.5,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Dresden_Holstein_Kiel,2026-05-17,14:30,Dresden,Holstein Kiel,D2,football_data_average_market_proxy,delayed_market_proxy,1.67,3.93,4.19,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Elversberg_Preußen_Münster,2026-05-17,14:30,Elversberg,Preußen Münster,D2,football_data_bet365_proxy,delayed_market_proxy,1.22,6.0,10.0,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Elversberg_Preußen_Münster,2026-05-17,14:30,Elversberg,Preußen Münster,D2,football_data_max_market_proxy,delayed_market_proxy,1.26,6.5,13.0,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Elversberg_Preußen_Münster,2026-05-17,14:30,Elversberg,Preußen Münster,D2,football_data_average_market_proxy,delayed_market_proxy,1.21,6.11,10.13,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Greuther_Furth_Fortuna_Dusseldorf,2026-05-17,14:30,Greuther Furth,Fortuna Dusseldorf,D2,football_data_bet365_proxy,delayed_market_proxy,2.5,3.6,2.5,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Greuther_Furth_Fortuna_Dusseldorf,2026-05-17,14:30,Greuther Furth,Fortuna Dusseldorf,D2,football_data_max_market_proxy,delayed_market_proxy,2.6,3.75,2.63,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Greuther_Furth_Fortuna_Dusseldorf,2026-05-17,14:30,Greuther Furth,Fortuna Dusseldorf,D2,football_data_average_market_proxy,delayed_market_proxy,2.45,3.59,2.48,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Hannover_Nurnberg,2026-05-17,14:30,Hannover,Nurnberg,D2,football_data_bet365_proxy,delayed_market_proxy,1.44,4.75,5.75,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Hannover_Nurnberg,2026-05-17,14:30,Hannover,Nurnberg,D2,football_data_max_market_proxy,delayed_market_proxy,1.45,5.0,6.6,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Hannover_Nurnberg,2026-05-17,14:30,Hannover,Nurnberg,D2,football_data_average_market_proxy,delayed_market_proxy,1.41,4.69,5.84,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Karlsruhe_Bochum,2026-05-17,14:30,Karlsruhe,Bochum,D2,football_data_bet365_proxy,delayed_market_proxy,2.45,3.9,2.38,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Karlsruhe_Bochum,2026-05-17,14:30,Karlsruhe,Bochum,D2,football_data_max_market_proxy,delayed_market_proxy,2.6,4.0,2.45,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Karlsruhe_Bochum,2026-05-17,14:30,Karlsruhe,Bochum,D2,football_data_average_market_proxy,delayed_market_proxy,2.48,3.82,2.35,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Magdeburg_Kaiserslautern,2026-05-17,14:30,Magdeburg,Kaiserslautern,D2,football_data_bet365_proxy,delayed_market_proxy,1.67,4.1,4.2,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Magdeburg_Kaiserslautern,2026-05-17,14:30,Magdeburg,Kaiserslautern,D2,football_data_max_market_proxy,delayed_market_proxy,1.77,4.33,4.2,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
fd_D2_2026-05-17_Magdeburg_Kaiserslautern,2026-05-17,14:30,Magdeburg,Kaiserslautern,D2,football_data_average_market_proxy,delayed_market_proxy,1.69,4.12,3.93,2026-05-17T13:02:05.538923+00:00,free_delayed_fixture_odds_proxy,https://www.football-data.co.uk/fixtures.csv
