name,active,source
10BET,True,all_bookmakers
12bet,True,all_bookmakers
188bet,False,all_bookmakers
18bet,True,all_bookmakers
1Bet,True,all_bookmakers
1xbet,True,all_bookmakers
1xBit,True,all_bookmakers
20Bet,False,all_bookmakers
22Bet,True,all_bookmakers
31Bet,True,all_bookmakers
7Bet LT,True,all_bookmakers
888Sport,True,all_bookmakers
888Sport CA,True,all_bookmakers
888Sport IT,True,all_bookmakers
AdmiralBet DE,True,all_bookmakers
AdmiralBet IT,True,all_bookmakers
All British Casino,True,all_bookmakers
AlphaWin,True,all_bookmakers
Apostamax,True,all_bookmakers
Apostatudo,True,all_bookmakers
Apuesta Total,False,all_bookmakers
ATG SE,True,all_bookmakers
B2xbet,True,all_bookmakers
Bally Bet,True,all_bookmakers
BandBet,False,all_bookmakers
BarriereBet FR,True,all_bookmakers
BC.Game,True,all_bookmakers
Bet365,True,all_bookmakers
bet365 NJ,True,all_bookmakers
Bet7k,True,all_bookmakers
Bet9ja,True,all_bookmakers
Betano,True,all_bookmakers
Betano BG,True,all_bookmakers
Betano BR,True,all_bookmakers
Betano CA,True,all_bookmakers
Betano CZ,True,all_bookmakers
Betano DE,True,all_bookmakers
Betano DK,True,all_bookmakers
Betano MX,True,all_bookmakers
Betano PE,True,all_bookmakers
Betano PT,True,all_bookmakers
Betano UK,False,all_bookmakers
Bet-At-Home,False,all_bookmakers
Bet.bet,True,all_bookmakers
Betcenter BE,True,all_bookmakers
Betclic FR,True,all_bookmakers
Betclic PL,True,all_bookmakers
Betclic PT,True,all_bookmakers
Betcris,True,all_bookmakers
Bet Da Sorte,True,all_bookmakers
Betfair ES,True,all_bookmakers
Betfair Exchange,True,all_bookmakers
Betfair IT,True,all_bookmakers
Betfair Sportsbook,True,all_bookmakers
Betfalcons,True,all_bookmakers
Betfan PL,True,all_bookmakers
Betfinal,False,all_bookmakers
BetFlag IT,True,all_bookmakers
Betfury,False,all_bookmakers
Betfusion,True,all_bookmakers
Betgorillas,True,all_bookmakers
Betify,True,all_bookmakers
Betinia DK,True,all_bookmakers
BetMGM,True,all_bookmakers
BetMGM BR,True,all_bookmakers
Betnacional,True,all_bookmakers
BetOnline.ag,True,all_bookmakers
BetOnRed,True,all_bookmakers
BetParx,True,all_bookmakers
Betplay,True,all_bookmakers
BetRivers,True,all_bookmakers
Betsafe,True,all_bookmakers
Betsson,True,all_bookmakers
BetUK,True,all_bookmakers
BetVictor,False,all_bookmakers
Betway,True,all_bookmakers
BetWinner,True,all_bookmakers
Blaze,True,all_bookmakers
Bluechip,True,all_bookmakers
Bodog,True,all_bookmakers
BookMaker.eu,True,all_bookmakers
Bovada,True,all_bookmakers
BoyleSports,False,all_bookmakers
BRX,True,all_bookmakers
BullSbet,True,all_bookmakers
Bwin ES,True,all_bookmakers
Bwin FR,True,all_bookmakers
Bwin IT,True,all_bookmakers
Caesars,True,all_bookmakers
CampeonBet,True,all_bookmakers
Campobet DK,True,all_bookmakers
Casa Pariurilor,True,all_bookmakers
CASHPOINT,True,all_bookmakers
Cassino,True,all_bookmakers
Chance.cz,True,all_bookmakers
Circa,True,all_bookmakers
CircusBet FR,True,all_bookmakers
CloudBet,True,all_bookmakers
ComeOn,True,all_bookmakers
Coolbet,True,all_bookmakers
Coolzino,True,all_bookmakers
Coral,True,all_bookmakers
CrazyBuzzer,True,all_bookmakers
CryptoLeo,True,all_bookmakers
DACHBET,True,all_bookmakers
DafaBet,True,all_bookmakers
DanskeSpil,True,all_bookmakers
