fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc,event_status
odds_api_io_69924102,finland-kolmonen,finland-kolmonen,upcoming,2026-05-14,08:00,SJK-J,FC Kiisto,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_61927890,austria-amateur-vorarlberg-eliteliga,austria-amateur-vorarlberg-eliteliga,upcoming,2026-05-14,09:00,SV Lochau,FC Wolfurt,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70090084,india-i-league-2,india-i-league-2,upcoming,2026-05-14,09:30,Neroca FC,Sudeva Delhi FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_71343350,finland-suomen-cup-women,finland-suomen-cup-women,upcoming,2026-05-14,10:00,JaPS,FC KTP,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70926662,ethiopia-premier-league,ethiopia-premier-league,upcoming,2026-05-14,10:00,Sidama Bunna SC,Hadiya Hossana FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_71312154,spain-u19-division-de-honor-juvenil,spain-u19-division-de-honor-juvenil,upcoming,2026-05-14,10:00,FC Barcelona,CD Tenerife,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_67915570,norway-2nd-division-group-2,norway-2nd-division-group-2,upcoming,2026-05-14,11:00,Tromsdalen UIL,Grorud IL,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68377650,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-14,11:00,Torslanda IK,Qviding FIF,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70479314,tanzania-premier-league,tanzania-premier-league,upcoming,2026-05-14,11:00,Tanzania Prisons,Fountain Gate FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68377654,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-14,11:00,Vastra Frolunda IF,IK Kongahalla,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_70479350,tanzania-premier-league,tanzania-premier-league,upcoming,2026-05-14,11:00,Mtibwa Sugar FC,Kmc FC,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68311588,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-14,11:00,Tvaakers IF,BK Olympic,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68310884,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-14,11:00,Piteaa IF,FBK Karlstad,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68344646,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-14,11:00,IFK Berga,Rappe GOIF,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
odds_api_io_68310886,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-14,11:00,Vasalunds IF,Gefle IF,odds_api_io_events_bookmaker_filtered,2026-05-14T02:30:51.920419+00:00,pending
