fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality,raw_source_url
odds_api_io_71428876,2026-05-12,22:00,CA Belgrano de Cordoba,Union de Santa Fe,argentina-liga-profesional,odds_api_io_Bet365_ML,free_api_market_proxy,2.4,2.9,3.3,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_71172384,2026-05-12,22:00,Deportivo Tachira,Metropolitanos FC,venezuela-primera-division,odds_api_io_Bet365_ML,free_api_market_proxy,1.571,3.4,5.5,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_70379156,2026-05-12,22:00,GV Club Deportivo San Jose de Oruro,CD Real Tomayapo,bolivia-division-profesional,odds_api_io_Bet365_European Handicap,free_api_market_proxy,3.5,21.0,41.0,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_71289488,2026-05-12,22:30,Londrina EC PR,Sao Bernardo FC,brazil-brasileiro-serie-b,odds_api_io_Bet365_ML,free_api_market_proxy,2.3,2.75,3.7,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_70401284,2026-05-12,22:30,SC Internacional RS,Athletic Club Sjdr MG,brazil-copa-do-brasil,odds_api_io_Bet365_ML,free_api_market_proxy,1.285,5.25,10.0,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_71354552,2026-05-12,23:00,Banos Ciudad de Fuego,Delfin SC,ecuador-copa-ecuador,odds_api_io_Bet365_ML,free_api_market_proxy,5.0,3.2,1.666,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_67912056,2026-05-12,23:00,Boston Legacy FC,Orlando Pride,usa-national-womens-soccer-league,odds_api_io_Bet365_ML,free_api_market_proxy,2.9,3.5,2.0,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_69090796,2026-05-12,23:00,LVU Rush,West Chester United SC USL2,usa-usl-league-two,odds_api_io_Bet365_ML,free_api_market_proxy,5.0,4.75,1.42,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_71344616,2026-05-12,23:00,Mahaut Soca Strikers,Middleham United FC,dominica-dfa-premier,odds_api_io_Bet365_ML,free_api_market_proxy,1.55,4.333,4.333,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
odds_api_io_71344526,2026-05-12,23:00,St Andrew Lions,Ellerton FC,barbados-premier-league,odds_api_io_Bet365_ML,free_api_market_proxy,4.75,4.1,1.55,2026-05-12T21:31:17.734205+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi
