fixture_id,match_date,match_time,home_team,away_team,league,source_name,source_type,market_home_odds,market_draw_odds,market_away_odds,price_captured_at_utc,source_quality,raw_source_url,quality_direct_key,quality_swapped_key,quality_status
odds_api_io_68050304,2026-05-23,02:30,Eastern United Reserve,Adelaide Blue Eagles Reserves,australia-south-australia-state-league-1-reserves,odds_api_io_Bet365_ML,free_api_market_proxy,5.0,5.0,1.4,2026-05-23T02:15:41.018104+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|eastern reserve|adelaide blue eagles reserves,2026-05-23|adelaide blue eagles reserves|eastern reserve,rejected_youth_or_reserve_match
odds_api_io_68161328,2026-05-23,02:30,Green Gully SC,Heidelberg United FC,australia-u23-victoria-npl,odds_api_io_Bet365_ML,free_api_market_proxy,2.9,4.333,1.8,2026-05-23T02:15:41.018104+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|green gully|heidelberg,2026-05-23|heidelberg|green gully,rejected_youth_or_reserve_match
odds_api_io_68050306,2026-05-23,02:45,Adelaide Atletico Victory Reserves,South Adelaide Reserve,australia-south-australia-state-league-1-reserves,odds_api_io_Bet365_ML,free_api_market_proxy,1.666,4.5,3.4,2026-05-23T02:15:41.018104+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|adelaide atletico victory reserves|south adelaide reserve,2026-05-23|south adelaide reserve|adelaide atletico victory reserves,rejected_youth_or_reserve_match
odds_api_io_69195828,2026-05-23,02:45,Canberra White Eagles FC,O'Connor Knights SC,australia-u23-capital-npl,odds_api_io_Bet365_ML,free_api_market_proxy,15.0,8.5,1.142,2026-05-23T02:15:41.018104+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|canberra white eagles|o'connor knights,2026-05-23|o'connor knights|canberra white eagles,rejected_youth_or_reserve_match
odds_api_io_68050032,2026-05-23,02:45,Croydon Kings FC Reserve,North Eastern Metrostars SC Reserves,australia-south-australia-npl-reserves,odds_api_io_Bet365_ML,free_api_market_proxy,10.0,6.5,1.166,2026-05-23T02:15:41.018104+00:00,free_api_market_proxy_capped_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|croydon kings reserve|north eastern metrostars reserves,2026-05-23|north eastern metrostars reserves|croydon kings reserve,rejected_youth_or_reserve_match
odds_api_io_68050314,2026-05-23,03:15,Salisbury United Reserve,Adelaide Cobras Reserves,australia-south-australia-state-league-1-reserves,odds_api_io_Bet365_ML,free_api_market_proxy,2.55,5.0,1.909,2026-05-23T02:15:52.260512+00:00,free_api_market_proxy_extra_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|salisbury reserve|adelaide cobras reserves,2026-05-23|adelaide cobras reserves|salisbury reserve,rejected_youth_or_reserve_match
odds_api_io_67905200,2026-05-23,02:45,Gold Coast United FC,Rochedale Rovers,australia-u23-queensland-npl,odds_api_io_Bet365_ML,free_api_market_proxy,7.5,5.25,1.25,2026-05-23T02:15:52.260512+00:00,free_api_market_proxy_extra_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|gold coast|rochedale rovers,2026-05-23|rochedale rovers|gold coast,rejected_youth_or_reserve_match
odds_api_io_68160942,2026-05-23,02:45,Port Melbourne Sharks SC,Brunswick Juventus FC,australia-u23-victoria-premier-league-1,odds_api_io_Bet365_ML,free_api_market_proxy,2.3,4.333,2.25,2026-05-23T02:15:52.260512+00:00,free_api_market_proxy_extra_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|port melbourne sharks|brunswick juventus,2026-05-23|brunswick juventus|port melbourne sharks,rejected_youth_or_reserve_match
odds_api_io_69195830,2026-05-23,02:45,Queanbeyan City FC,Canberra Juventus FC,australia-u23-capital-npl,odds_api_io_Bet365_ML,free_api_market_proxy,2.55,4.0,2.1,2026-05-23T02:15:52.260512+00:00,free_api_market_proxy_extra_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|queanbeyan|canberra juventus,2026-05-23|canberra juventus|queanbeyan,rejected_youth_or_reserve_match
odds_api_io_68161330,2026-05-23,03:00,Bentleigh Greens SC,Caroline Springs George Cross FC,australia-u23-victoria-npl,odds_api_io_Bet365_ML,free_api_market_proxy,2.2,4.2,2.35,2026-05-23T02:15:52.260512+00:00,free_api_market_proxy_extra_multi_event_call,https://api.odds-api.io/v3/odds/multi,2026-05-23|bentleigh greens|caroline springs george cross,2026-05-23|caroline springs george cross|bentleigh greens,rejected_youth_or_reserve_match
