captured_at_utc,label,status_code,x_ratelimit_limit,x_ratelimit_remaining,x_ratelimit_reset,retry_after
2026-05-11T21:41:55.764252+00:00,events_bookmaker_filtered_1,200,100,39,2026-05-11T22:22:15Z,
2026-05-11T21:41:56.387060+00:00,events_bookmaker_filtered_2,200,100,38,2026-05-11T22:22:15Z,
2026-05-11T21:41:56.780858+00:00,events_search_1,200,100,37,2026-05-11T22:22:15Z,
2026-05-11T21:41:57.241192+00:00,events_search_2,200,100,36,2026-05-11T22:22:15Z,
2026-05-11T21:41:57.531640+00:00,events_search_3,200,100,35,2026-05-11T22:22:15Z,
2026-05-11T21:41:57.823501+00:00,events_search_4,200,100,34,2026-05-11T22:22:15Z,
2026-05-11T21:41:58.185225+00:00,events_search_5,200,100,33,2026-05-11T22:22:15Z,
2026-05-11T21:41:58.486571+00:00,events_search_6,200,100,32,2026-05-11T22:22:15Z,
2026-05-11T21:41:58.924954+00:00,events_search_7,200,100,31,2026-05-11T22:22:15Z,
2026-05-11T21:41:59.344736+00:00,odds_multi,200,100,30,2026-05-11T22:22:15Z,
