match_date,home_team,away_team,selection,source_name,market_odds,probability,probability_edge,ev,alignment_penalty,proxy_candidate_tier,proxy_candidate_score,primary_blockers,improvement_needed,real_money_ready
2026-05-26,FS Jelgava,FK Liepaja,home,odds_api_io_Bet365_ML,3.8,0.3772,0.114042,0.43336,0.4333594266562293,proxy_watchlist,0.2649,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,CSD Flandria,Arsenal de Sarandi,home,odds_api_io_Bet365_ML,3.75,0.3772,0.110533,0.4145,0.4144982318772101,proxy_watchlist,0.2633,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,BFC Daugavpils,FK Auda Riga,home,odds_api_io_Bet365_ML,3.3,0.3772,0.07417,0.24476,0.2447612447612446,proxy_watchlist,0.2477,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,CD Armenio,Argentino de Merlo,home,odds_api_io_Bet365_ML,3.1,0.3772,0.054619,0.16932,0.1693187137494147,proxy_watchlist,0.24,market_alignment_penalty_too_high_for_real_candidate,needs better market alignment or stricter probability calibration,False
2026-05-26,CS Dock Sud,Real Pilar FC,home,odds_api_io_Bet365_ML,3.1,0.3772,0.054619,0.16932,0.1693187137494147,proxy_watchlist,0.24,market_alignment_penalty_too_high_for_real_candidate,needs better market alignment or stricter probability calibration,False
2026-05-26,CA Brown de Adrogue,CA Talleres de Remedios,home,odds_api_io_Bet365_ML,2.875,0.3772,0.029374,0.08445,0.0844502711125676,proxy_watchlist,0.2308,watchlist_only_pending_forward_settlement,monitor until settled forward sample is large enough,False
2026-05-26,FC Honka,VJS,home,odds_api_io_Bet365_ML,2.75,0.3772,0.013564,0.0373,0.0373010373010371,proxy_watchlist,0.2253,edge_below_candidate_threshold,needs stronger model-vs-market edge,False
2026-05-26,FC Badalona Women,Real Madrid,home,odds_api_io_Bet365_ML,4.333,0.3772,0.146413,0.634408,0.6344074839570686,proxy_watchlist,0.2223,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,Stjarnan Gardabae,Vikingur Reykjavik,home,odds_api_io_Bet365_ML,4.333,0.3772,0.146413,0.634408,0.6344074839570686,proxy_watchlist,0.2223,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,IFK Mariehamn,FC Lahti,home,odds_api_io_Bet365_ML,4.2,0.3772,0.139105,0.58424,0.5842415842415842,proxy_watchlist,0.2192,ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,Greuther Furth,Rot-Weiss Essen,away,odds_api_io_Bet365_ML,4.1,0.3488,0.104898,0.43008,0.4300825741486334,suppressed_proxy_watchlist,0.1244,probability_or_league_rule_suppressed; low_probability_band_under_0_35; ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,collect settled forward results before trusting low-probability selections; calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
2026-05-26,Brodd,Odds BK 2,away,odds_api_io_Bet365_ML,4.0,0.3488,0.0988,0.3952,0.3952,suppressed_proxy_watchlist,0.123,probability_or_league_rule_suppressed; low_probability_band_under_0_35; ev_above_real_candidate_cap_possible_overconfidence; market_alignment_penalty_too_high_for_real_candidate,collect settled forward results before trusting low-probability selections; calibration should reduce overconfident EV spikes; needs better market alignment or stricter probability calibration,False
