file,rows,timestamp_column,first_snapshot,last_snapshot
market_snapshot_20260510_171045.parquet,30,snapshot_created_at_utc,2026-05-10 17:10:45.036026+00:00,2026-05-10 17:10:45.036026+00:00
market_snapshot_20260510_171423.parquet,30,snapshot_created_at_utc,2026-05-10 17:14:23.506291+00:00,2026-05-10 17:14:23.506291+00:00
market_snapshot_20260510_171636.parquet,30,snapshot_created_at_utc,2026-05-10 17:16:36.941269+00:00,2026-05-10 17:16:36.941269+00:00
market_snapshot_20260510_172406.parquet,30,snapshot_created_at_utc,2026-05-10 17:24:06.006568+00:00,2026-05-10 17:24:06.006568+00:00
market_snapshot_20260510_172837.parquet,30,snapshot_created_at_utc,2026-05-10 17:28:37.549671+00:00,2026-05-10 17:28:37.549671+00:00
market_snapshot_20260510_173536.parquet,30,snapshot_created_at_utc,2026-05-10 17:35:36.942380+00:00,2026-05-10 17:35:36.942380+00:00
market_snapshot_20260510_173745.parquet,30,snapshot_created_at_utc,2026-05-10 17:37:45.521042+00:00,2026-05-10 17:37:45.521042+00:00
market_snapshot_20260510_173853.parquet,30,snapshot_created_at_utc,2026-05-10 17:38:53.512681+00:00,2026-05-10 17:38:53.512681+00:00
market_snapshot_20260510_174013.parquet,30,snapshot_created_at_utc,2026-05-10 17:40:13.515504+00:00,2026-05-10 17:40:13.515504+00:00
market_snapshot_20260510_174447.parquet,30,snapshot_created_at_utc,2026-05-10 17:44:47.836578+00:00,2026-05-10 17:44:47.836578+00:00
market_snapshot_20260510_174606.parquet,30,snapshot_created_at_utc,2026-05-10 17:46:06.710075+00:00,2026-05-10 17:46:06.710075+00:00
market_snapshot_latest.parquet,30,snapshot_created_at_utc,2026-05-10 17:46:06.710075+00:00,2026-05-10 17:46:06.710075+00:00
