fixture_id,league,league_id,season,match_date,match_time,home_team,away_team,source,fetched_at_utc
odds_api_io_70730310,denmark-2nd-division,denmark-2nd-division,upcoming,2026-05-13,16:00,AB Gladsaxe,FC Roskilde,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69688854,brazil-u20-brasileiro-serie-b,brazil-u20-brasileiro-serie-b,upcoming,2026-05-13,18:30,AC Goianiense GO,Botafogo FC SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71366668,italy-serie-c-promotion-playoffs,italy-serie-c-promotion-playoffs,upcoming,2026-05-13,18:00,AC Renate,S.S.D. Casarano Calcio,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71172362,venezuela-primera-division,venezuela-primera-division,upcoming,2026-05-13,23:30,Academia Puerto Cabello,Portuguesa FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71297426,colombia-primera-a-apertura,colombia-primera-a-apertura,upcoming,2026-05-13,23:00,AD Pasto,CD Tolima,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71296250,brazil-copa-do-brasil-women,brazil-copa-do-brasil-women,upcoming,2026-05-13,18:00,AD Taubate SP,3B Sport AM,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70820624,iceland-cup,iceland-cup,upcoming,2026-05-13,19:15,Afturelding,UMF Njardvik,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68320168,sweden-division-2-promotion-playoffs,sweden-division-2-promotion-playoffs,upcoming,2026-05-13,17:00,Ahlafors IF,Herrestads AIF,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71463050,senegal-ligue-1,senegal-ligue-1,upcoming,2026-05-13,17:00,Ajel de Rufisque,Guediawaye FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71403924,bahrain-2nd-division,bahrain-2nd-division,upcoming,2026-05-13,16:00,Al Ittihad,Um Alhassam,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69880316,egypt-premier-league,egypt-premier-league,upcoming,2026-05-13,17:00,Al Ittihad Al Sakandary,Talaea El Gaish,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67953284,saudi-arabia-division-1,saudi-arabia-division-1,upcoming,2026-05-13,16:10,Al-Adalah,Al Jubail,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67953280,saudi-arabia-division-1,saudi-arabia-division-1,upcoming,2026-05-13,16:10,Al-Arabi SC (SA),AL Jandal,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67953290,saudi-arabia-division-1,saudi-arabia-division-1,upcoming,2026-05-13,14:50,Al-Raed Club,Abha Club,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_67953292,saudi-arabia-division-1,saudi-arabia-division-1,upcoming,2026-05-13,15:05,Al-Tai,Jeddah Club,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_SP1_2026-05-13_Alaves_Barcelona,la_liga,SP1,upcoming,2026-05-13,20:30,Alaves,Barcelona,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_71406950,scotland-championship,scotland-championship,upcoming,2026-05-13,18:45,Alloa Athletic FC,Stenhousemuir FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71412168,netherlands-eredivisie,netherlands-eredivisie,upcoming,2026-05-13,18:00,Almere City FC,Willem II Tilburg,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68158764,argentina-copa-proyeccion-final-reserves,argentina-copa-proyeccion-final-reserves,upcoming,2026-05-13,18:00,Argentinos Juniors Reserve,CA Tigre Reserve,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68310880,sweden-ettan-relegation/promotion,sweden-ettan-relegation/promotion,upcoming,2026-05-13,17:30,FC Arlanda,Karlbergs BK,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70722406,england-amateur-super-league-women,england-amateur-super-league-women,upcoming,2026-05-13,18:00,Arsenal WFC,Everton FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71463044,mali-ligue-1,mali-ligue-1,upcoming,2026-05-13,18:30,AS Bakaridjan,AS Korofina,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68158772,argentina-copa-proyeccion-final-reserves,argentina-copa-proyeccion-final-reserves,upcoming,2026-05-13,18:00,Atletico Tucuman Reserve,CA Barracas Central Reserve,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68492518,latvia-virsliga,latvia-virsliga,upcoming,2026-05-13,15:00,BFC Daugavpils,FC RFS,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_61894056,austria-amateur-burgenland-burgenlandliga,austria-amateur-burgenland-burgenlandliga,upcoming,2026-05-13,17:30,Bad Sauerbrunn,SV Leithaprodersdorf,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71336694,oman-omani-league,oman-omani-league,upcoming,2026-05-13,16:30,Bahla Club,AL Nasr SC (OMA),odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71344618,dominica-dfa-premier,dominica-dfa-premier,upcoming,2026-05-13,23:00,Bath Estate,We United,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70812660,israel-premier-league,israel-premier-league,upcoming,2026-05-13,17:00,Bnei Sakhnin FC,Hapoel Ironi Kiryat Shmona FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71325020,colombia-primera-b,colombia-primera-b,upcoming,2026-05-13,21:00,Bogota FC,Barranquilla FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68751768,brazil-u20-campeonato-brasileiro,brazil-u20-campeonato-brasileiro,upcoming,2026-05-13,20:00,Botafogo FR RJ,CR Flamengo RJ,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_F1_2026-05-13_Brest_Strasbourg,ligue_1,F1,upcoming,2026-05-13,18:00,Brest,Strasbourg,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_71344700,gambia-division-one,gambia-division-one,upcoming,2026-05-13,16:30,Brikama United,Falcons FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69688804,brazil-u20-brasileiro-serie-b,brazil-u20-brasileiro-serie-b,upcoming,2026-05-13,18:30,Brusque SC,CR Brasil AL,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71403926,bahrain-2nd-division,bahrain-2nd-division,upcoming,2026-05-13,16:00,Busaiteen,AL Hala,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68158780,argentina-copa-proyeccion-final-reserves,argentina-copa-proyeccion-final-reserves,upcoming,2026-05-13,18:00,CA Belgrano,CA Central Cordoba SE Reserve,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68751758,brazil-u20-campeonato-brasileiro,brazil-u20-campeonato-brasileiro,upcoming,2026-05-13,18:00,CA Paranaense PR,Red Bull Bragantino SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71194350,argentina-copa-argentina,argentina-copa-argentina,upcoming,2026-05-13,19:15,CA Platense,San Martin de San Juan,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71428928,argentina-liga-profesional,argentina-liga-profesional,upcoming,2026-05-13,21:45,CA Rosario Central,Racing Club Avellaneda,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71366666,italy-serie-c-promotion-playoffs,italy-serie-c-promotion-playoffs,upcoming,2026-05-13,18:00,Calcio Lecco 1912,US Pianese,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71172386,venezuela-primera-division,venezuela-primera-division,upcoming,2026-05-13,23:00,Carabobo FC,Estudiantes de Merida,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71463324,el-salvador-primera-division-reserves-clausura,el-salvador-primera-division-reserves-clausura,upcoming,2026-05-13,18:00,CD Aguila,Alianza FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71452802,el-salvador-primera-division-clausura,el-salvador-primera-division-clausura,upcoming,2026-05-13,21:30,CD Aguila San Miguel,CD Luis Angel Firpo Usulutan,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71345804,ecuador-supercopa,ecuador-supercopa,upcoming,2026-05-13,22:00,CD Universidad Catolica del Ecuador,CSD Independiente del Valle,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71356892,brazil-copa-fgf,brazil-copa-fgf,upcoming,2026-05-13,18:00,CE Gramadense RS,FC Santa Cruz RS,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_66299148,usa-mls,usa-mls,upcoming,2026-05-13,23:15,Charlotte FC,New York City FC,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_66299150,usa-mls,usa-mls,upcoming,2026-05-13,23:30,FC Cincinnati,Inter Miami CF,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70759058,chile-copa-de-la-liga,chile-copa-de-la-liga,upcoming,2026-05-13,23:00,Coquimbo Unido,Colo-Colo,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69254638,chile-primera-division-women,chile-primera-division-women,upcoming,2026-05-13,15:00,Coquimbo Unido,Deportes Iquique,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71296268,brazil-copa-do-brasil-women,brazil-copa-do-brasil-women,upcoming,2026-05-13,18:00,Coritiba FC PR,Rio Negro RR,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70401282,brazil-copa-do-brasil,brazil-copa-do-brasil,upcoming,2026-05-13,22:30,Coritiba FC PR,Santos FC SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70452650,brazil-copa-do-brasil,brazil-copa-do-brasil,upcoming,2026-05-13,22:00,CR Vasco da Gama RJ,Paysandu SC PA,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_68751770,brazil-u20-campeonato-brasileiro,brazil-u20-campeonato-brasileiro,upcoming,2026-05-13,18:00,Criciuma EC SC,Fortaleza EC CE,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70350998,ecuador-serie-b,ecuador-serie-b,upcoming,2026-05-13,20:30,Cumbaya FC,LDU Portoviejo,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_66299152,usa-mls,usa-mls,upcoming,2026-05-13,23:30,DC United,Chicago Fire,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_69254642,chile-primera-division-women,chile-primera-division-women,upcoming,2026-05-13,15:00,Deportes Recoleta,Universidad Catolica,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_61624638,spain-laliga,spain-laliga,upcoming,2026-05-13,19:30,Deportivo Alaves,FC Barcelona,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_61466365,austria-amateur-regionalliga-centre,austria-amateur-regionalliga-centre,upcoming,2026-05-13,17:00,Deutschlandsberger SC,SK Treibach,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_71049698,luxembourg-coupe-de-luxembourg,luxembourg-coupe-de-luxembourg,upcoming,2026-05-13,18:00,FC Differdange 03,FC Rodange 91,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
odds_api_io_70401280,brazil-copa-do-brasil,brazil-copa-do-brasil,upcoming,2026-05-13,22:00,EC Juventude RS,Sao Paulo FC SP,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
fd_SP1_2026-05-13_Espanol_Ath_Bilbao,la_liga,SP1,upcoming,2026-05-13,18:00,Espanol,Ath Bilbao,football_data_fixtures_proxy,2026-05-13T14:11:22.644318+00:00
odds_api_io_61624648,spain-laliga,spain-laliga,upcoming,2026-05-13,17:00,Espanyol Barcelona,Athletic Bilbao,odds_api_io_events_bookmaker_filtered,2026-05-13T14:11:23.336889+00:00
